name,url,source,functions,application,notes,model,prompt_tokens,completion_tokens
,https://materialdistrict.com/material/colour-changing-materials/,plastics,change colour; trigger effect; incorporate shapes,colour changing spoons for children,The application is derived from the specific mention of colour changing spoons in the post text.,gpt-4o-mini,796,69
,https://materialdistrict.com/material/colour-chips-glass/,glass,create-colour effect; integrate-colour; provide-depth; allow-customization,decorative wall panels,The application of decorative wall panels is inferred from the material's properties and potential use in design.,gpt-4o-mini,711,75
,https://materialdistrict.com/material/colour-line/,European oak,provide-protective seal; enhance-visual appeal; maintain-real wood feel,interior flooring planks,The application of interior flooring planks is derived from the description of the wood planks being suitable for indoor use.,gpt-4o-mini,832,80
,https://materialdistrict.com/material/colour-panels/,Plastics,combine-numerous techniques; create-colorful surfaces; enhance-interior aesthetics,colorful interior wall panels,External knowledge about interior design applications was used.,gpt-4o-mini,751,66
,https://materialdistrict.com/material/coloured-felt/,wool felt,reduce echo; absorb sound; regulate humidity; cleanse air; provide warmth,sound-absorbing wall panel,External knowledge on sound absorption and interior design was used.,gpt-4o-mini,838,74
,https://materialdistrict.com/material/coloured-solar-panels/,solar panels,generate energy; integrate aesthetics; harmonise with façades,energy-generating building façade,External knowledge about solar panels and their applications was used.,gpt-4o-mini,792,64
,https://materialdistrict.com/material/combisol/,Plastics,block-solar thermal energy; reduce-glare; allow-diffuse daylight; reflect-sunlight; transmit-diffuse light,daylight management system for buildings,External knowledge about daylight systems was used to define the application.,gpt-4o-mini,696,85
,https://materialdistrict.com/material/comfortemp/,mPCM material,absorb-heat; release-heat; react-temperature; improve-cold protection,temperature-regulating textile for clothing,External knowledge about phase change materials was used to define the application.,gpt-4o-mini,862,74
,https://materialdistrict.com/material/common-sands-forite/,sand,integrate-glass; recycle-waste; celebrate-variability; cover-surfaces; partition-elements,architectural glass tiles,"The application of architectural glass tiles is explicitly mentioned in the text, leveraging recycled materials.",gpt-4o-mini,1202,81
,https://materialdistrict.com/material/compacfoam/,polystyrene,provide insulation; offer compressive strength; maintain lightweight properties,thermal insulation panels for buildings,External knowledge about polystyrene applications was used.,gpt-4o-mini,811,63
,https://materialdistrict.com/material/compacmel-plus/,high density fiberboard,offer solutions; provide resistance; support applications,kitchen worktops and bathroom facilities,External knowledge on high density fiberboard applications was used.,gpt-4o-mini,745,63
,https://materialdistrict.com/material/compact-panel-trend/,Wood,absorb-sound; install-easily; design-flexibly,acoustic wall and ceiling panels,External knowledge on acoustic panels was used to define the application.,gpt-4o-mini,1036,64
,https://materialdistrict.com/material/compact-tile/,Cement,reduce porosity; provide hardness; allow precise dimensioning; enable monolithic structure,floor tiles for heavy use,External knowledge about cement and tile applications was used.,gpt-4o-mini,790,68
,https://materialdistrict.com/material/compensatiesteen/,sand,absorb-CO2; create-construction material; cut-blocks; equip-profile,non-supporting wall blocks,External knowledge about construction materials and their applications was used.,gpt-4o-mini,925,69
,https://materialdistrict.com/material/completely-100-recylced-polydrop/,recycled polypropylene,manufacture-sheets; process-normal; utilize-post industrial waste,decorative product solutions,External knowledge on recycled materials and their applications was used.,gpt-4o-mini,726,64
,https://materialdistrict.com/material/complite/,wood veneer,reinforce-wood; harden-wood cells; process-like wood,high-strength furniture,External knowledge about wood applications was used.,gpt-4o-mini,740,60
,https://materialdistrict.com/material/compodeen/,wood fibre,provide strength; resist weather; enable recyclability,weather-resistant outdoor furniture,The application was inferred from the material's weather resistance and biobased properties.,gpt-4o-mini,747,65
,https://materialdistrict.com/material/compose-handwoven-textile/,textile,combine-noun; design-verb; translate-verb,exclusive rugs or wall hangings,Application is derived from the description of the material's potential uses.,gpt-4o-mini,739,65
,https://materialdistrict.com/material/composite-stone/,Composite stone,prevent thermal bridges; resist frost; resist alkalis; avoid dirt breeding ground; provide natural appearance,outdoor paving stones,External knowledge about composite stone applications was used.,gpt-4o-mini,785,73
,https://materialdistrict.com/material/compostboard/,starch,energize-organisms; keep-minerals; create-hummus,interior sheet material for living spaces,The application is derived from the text's mention of the material's function in interiors and its characteristics.,gpt-4o-mini,1142,76
,https://materialdistrict.com/material/con-cover/,polypropylene,provide-surface solution; combine-properties; produce-products; mold-parts; cover-surfaces,floor covering for living and office areas,External knowledge about polypropylene properties and applications was used.,gpt-4o-mini,912,75
,https://materialdistrict.com/material/con-pearl/,polypropylene,provide strength; offer durability; resist corrosion; allow lightweight design; enable weather resistance,interior panels for vehicles,External knowledge on vehicle components was used.,gpt-4o-mini,903,69
,https://materialdistrict.com/material/conbou-bamboo/,bamboo,reduce-waste; utilize-resource; create-structure; maximize-surface; distribute-forces,self-supporting lightweight elements for outdoor use,External knowledge on bamboo properties and applications was used.,gpt-4o-mini,863,77
,https://materialdistrict.com/material/concept-wood/,wood,provide-nature; suggest-wellbeing; create-harmony,interior wall paneling,The application is inferred from the description of the material's aesthetic qualities and its use in creating a relaxing atmosphere.,gpt-4o-mini,718,73
,https://materialdistrict.com/material/concreate/,cementitious based backer board,improve quality; bond layers; stay mould free; provide flexibility; resist weather; resist fire,weather and fire-proof building panels,External knowledge about building materials was used to determine the application.,gpt-4o-mini,841,84
,https://materialdistrict.com/material/concrete-cloth/,cement impregnated fabric,harden-noun; form-noun; water proof-noun; fire proof-noun; provide-noun,building cladding and roofing systems,The application is derived from the text mentioning building cladding and roofing as uses for the material.,gpt-4o-mini,754,88
,https://materialdistrict.com/material/concrete-crochet-tiles/,ceramic concrete,create-tile; capture-pattern; provide-durability; offer-aesthetic,decorative floor and wall tiles,External knowledge about the use of tiles in design was used.,gpt-4o-mini,721,71
,https://materialdistrict.com/material/concrete-curtain/,Concrete,serve-sunscreen; serve-windscreen; serve-privacy screen; act-facade element; act-heat accumulating room partition,flexible outdoor privacy screen,External knowledge about the use of concrete in architectural applications was used.,gpt-4o-mini,738,83
,https://materialdistrict.com/material/concrete-glass/,Concrete,provide strength; create shiny surface; offer durability; resist weathering,building façade cladding,External knowledge about concrete applications was used.,gpt-4o-mini,733,62
,https://materialdistrict.com/material/concrete-lace/,ultra high performance concrete,cast-tile; create-divider; provide-decor; resist-weather,decorative wall coverings for public buildings,External knowledge used to identify the application as a specific design solution.,gpt-4o-mini,759,74
,https://materialdistrict.com/material/concrete-silicone/,Concrete-Silicone,fuse materials; create contrast; enhance warmth; provide translucence; offer organic look,light fixture with contrasting materials,The application is inferred from the description of the material's properties and effects when light is placed behind it.,gpt-4o-mini,766,85
,https://materialdistrict.com/material/concrete-skin-vintage/,Concrete,reflect-nature; restore-surface; clad-facade,façade cladding panels,The application of façade cladding panels is directly mentioned in the post text.,gpt-4o-mini,791,68
,https://materialdistrict.com/material/concrete-skin/,Concrete,create-furniture; provide-texture; simulate-skin,outdoor seating structures,The application of outdoor furniture is derived from the mention of 'outside furniture' in the post text.,gpt-4o-mini,853,69
,https://materialdistrict.com/material/concrete-wallpaper/,Concrete,transform-space; hide-damages,interior wall covering,The application of interior wall covering is derived from the text discussing the use of wallpaper to transform spaces.,gpt-4o-mini,819,63
,https://materialdistrict.com/material/conductive-stretch-fabric/,Nylon,conductive-noun; antibacterial-noun; stretchy-noun,antibacterial wound dressing,The application is explicitly mentioned in the text.,gpt-4o-mini,803,64
,https://materialdistrict.com/material/conductive-tape/,synthetic yarns,connect-LED’s; allow-elasticity; adapt-width,electrical connection tape for LED installations,Used external knowledge about conductive tape applications.,gpt-4o-mini,903,64
,https://materialdistrict.com/material/conifer-needles-panels/,conifer needles,sound-absorbing panel; decorative wall; sustainable material usage,acoustic wall panels for interior design,"The application is derived from the description of the panels as sound-absorbing and decorative, focusing on interior use.",gpt-4o-mini,809,80
,https://materialdistrict.com/material/connection-safety-glass/,glass,prevent shattering; improve noise resistance; incorporate images; add depth,decorative safety glass panels,External knowledge about laminated safety glass applications was used.,gpt-4o-mini,708,67
,https://materialdistrict.com/material/connection-walls/,Wood,create-environment; provide-recyclability; enable-setup; facilitate-dismantling,reusable wall panels for events,External knowledge about wall panels and their applications was used.,gpt-4o-mini,725,73
,https://materialdistrict.com/material/conscience-fabrics/,fabrics,integrate designs; offer solutions; create projects; combine quality; ensure sustainability,sustainable interior textiles for residential spaces,Used external knowledge about sustainable textiles and interior design.,gpt-4o-mini,984,72
,https://materialdistrict.com/material/constructive-glass/,glass,constructive-material; transparent-division,glass house structure,The application of a glass house structure is derived from the text describing the project and its innovative use of glass.,gpt-4o-mini,826,64
,https://materialdistrict.com/material/contemporary-textiles/,wool felt,create wall panels; provide acoustic insulation; serve as room dividers,acoustic wall panels for public spaces,External knowledge about acoustic properties of wool felt was used.,gpt-4o-mini,815,67
,https://materialdistrict.com/material/contender-woven-sailcloth/,fiber,provide-strength; offer-UV-resistance; enable-dense-weaving; optimize-handling; enhance-performance,racing sail for dinghies,External knowledge about sailcloth applications was used.,gpt-4o-mini,865,77
,https://materialdistrict.com/material/contra-h/,viscose,flame-retardant material; textural surface; paintable substrate,theatrical backdrop fabric,The application is derived from the mention of theatrical and display applications in the post text.,gpt-4o-mini,855,72
,https://materialdistrict.com/material/contract-base/,vinyl acetate ethylene,reduce odour; lower flammability; minimize VOC emissions,commercial carpet backing for high-traffic areas,External knowledge about carpet applications and safety standards was used.,gpt-4o-mini,961,70
,https://materialdistrict.com/material/contur/,filament insulation,deliver warmth; provide flexibility; enable recyclability,outerwear and gloves,External knowledge about insulation applications was used.,gpt-4o-mini,700,57
,https://materialdistrict.com/material/conturax/,borosilicate glass,provide thermal resistance; offer geometric accuracy; ensure surface quality; allow custom shapes,laboratory glass tubing with custom angles,External knowledge about borosilicate glass properties was used.,gpt-4o-mini,901,74
,https://materialdistrict.com/material/coolcork/,cork,transform-noun; create-noun; develop-noun,durable upholstery and acoustic panels,External knowledge used to identify the application as a specific use-case for upholstery and acoustic solutions.,gpt-4o-mini,794,70
,https://materialdistrict.com/material/cooley-brite-lite/,plastic,provide flexibility; enable eradicability; resist UV; withstand weather,signage and awning materials,External knowledge about the use of flexible plastics in signage was used.,gpt-4o-mini,752,70
,https://materialdistrict.com/material/coolguard-hr/,KEE – Elvaloy® Terpolymer,handle-petrochemicals; provide-flexibility; create-complex-details; offer-UV-resistance; ensure-puncture-resistance,geomembrane liner for lagoons and ponds,External knowledge about geomembrane applications was used.,gpt-4o-mini,809,93
,https://materialdistrict.com/material/cooljeans/,textile fibres,repurpose-noun; develop-solution; spray-coating; upholster-furniture; refurbish-product; acoustic-solution,upholstered acoustic panels,External knowledge on upholstery and acoustic solutions was used.,gpt-4o-mini,811,86
,https://materialdistrict.com/material/coolleather/,leather,spray-coating; refurbish-furniture; reduce-CO2 footprint; enhance-acoustics,upholstery for furniture and acoustic panels,External knowledge about upholstery applications was used.,gpt-4o-mini,768,75
,https://materialdistrict.com/material/cooltrax/,polyester,prevent-heat accumulation; create-light and shadow fields; withstand-high wind loads; reduce-rain noise; protect-window material,outdoor shading system for windows,External knowledge about shading systems was used.,gpt-4o-mini,846,78
,https://materialdistrict.com/material/copper-and-brass-wire-mesh/,Copper and Brass,filter-particles; weave-mesh; resist-corrosion; support-structures,wire mesh screens for filtration systems,External knowledge on wire mesh applications in filtration was used.,gpt-4o-mini,759,72
,https://materialdistrict.com/material/copper-moss/,Copper,conduct electricity; form structures,decorative wall art with moss-like patterns,The application is derived from the description of the project's aesthetic qualities and the use of copper in creating structures.,gpt-4o-mini,703,66
,https://materialdistrict.com/material/copper-slag-geopolymer-concrete/,Copper Slag,reduce CO2 footprint; provide thermal resistance; offer high durability; ensure corrosion resistance; enable partial recyclability,geopolymer concrete for construction,External knowledge was used to specify the application as geopolymer concrete.,gpt-4o-mini,879,81
,https://materialdistrict.com/material/copper-tiles-collection/,Copper,create-covering; provide-aesthetic; laminate-between-glass,mosaic wall panels for interior design,External knowledge on copper applications was used.,gpt-4o-mini,785,62
,https://materialdistrict.com/material/copperant-paint/,natural resources,reduce CO2; provide protection; dry quickly; cover surfaces,biobased wall paint for interior use,External knowledge about sustainable paints and their applications was used.,gpt-4o-mini,909,68
,https://materialdistrict.com/material/coppo/,glass,allow-light; blend-in; improve-adherence; obtain-non-slip-effect,transparent curved roof tiles,External knowledge about glass tiles and roofing applications was used.,gpt-4o-mini,837,68
,https://materialdistrict.com/material/coquim-coconut-fibre/,coconut fibre,retain-water; act-fungicide; biodegrade-naturally,biodegradable plant pots,The application is derived from the material's properties and its intended use as a substitute for endangered species.,gpt-4o-mini,953,75
,https://materialdistrict.com/material/corafoam/,polyurethane foam,replace wood; create shapes; resist moisture; resist mould; resist deterioration,signage and model carving material,External knowledge used to identify application based on material properties.,gpt-4o-mini,946,74
,https://materialdistrict.com/material/coral-magic-oak/,Wood,create surface appearance; provide easy installation; offer vivid appearance,engineered wood flooring,External knowledge on wood flooring applications was used.,gpt-4o-mini,763,58
,https://materialdistrict.com/material/corcrete/,cork and concrete,provide insulation; offer durability; enhance aesthetics; improve acoustics,acoustic wall panels,External knowledge was used to identify the specific application based on the material's properties and intended use in interior design.,gpt-4o-mini,729,79
,https://materialdistrict.com/material/cordura-combat-wool/,wool,manage-odours; provide-breathability; offer-waterproofing; allow-stretch,outdoor performance clothing,Application inferred from the material properties and intended use.,gpt-4o-mini,683,69
,https://materialdistrict.com/material/cordura-nyco-fabric/,fabric,provide-abrasion resistance; offer-comfort; ensure-durability; meet-flame retardant standards; provide-anti-static protection,military uniforms and workwear,External knowledge about military and workwear applications was used.,gpt-4o-mini,786,82
,https://materialdistrict.com/material/corduroy/,polyester,blend-fabric; provide-texture; offer-durability,upholstered furniture,External knowledge about common uses of corduroy fabrics was used.,gpt-4o-mini,673,64
,https://materialdistrict.com/material/coremat/,polyester fibres,prevent resin up-take; increase stiffness; save weight; build thickness,lightweight laminate core material,External knowledge about laminate applications was used.,gpt-4o-mini,903,65
,https://materialdistrict.com/material/corian-nuwood/,solid surface material,mimic natural wood; create seamless appearance; withstand daily use; easily refinished,kitchen countertops with wood aesthetic,External knowledge used to identify kitchen countertops as a specific application.,gpt-4o-mini,881,75
,https://materialdistrict.com/material/corian-onyx/,Corian,create-surface; withstand-daily use; allow-easy cleaning; enable-seamless appearance; refinish-original appearance,kitchen countertops with seamless design,External knowledge about Corian's common applications was used.,gpt-4o-mini,851,81
,https://materialdistrict.com/material/corian-resilience-technology/,Corian Solid Surface,enable damage forgiveness; facilitate stain removal; reduce maintenance needs; lessen physical damage,kitchen countertops with enhanced durability,External knowledge about Corian's applications in kitchen design was used.,gpt-4o-mini,796,76
,https://materialdistrict.com/material/corium-bonded-leather/,leather scraps,provide elasticity; offer resistance; allow malleability; enable natural appearance,book covers and bags,The application is derived from the text mentioning uses similar to leather.,gpt-4o-mini,846,69
,https://materialdistrict.com/material/cork-fabric/,Cork,provide cushioning; offer insulation; create textures; allow for flexibility,upholstered furniture covering,The application is derived from the material's properties and common uses mentioned in the text.,gpt-4o-mini,760,71
,https://materialdistrict.com/material/cork-facade/,Cork,insulating-material; acoustic-material; damming-material,façade cladding panels,The application of façade cladding panels is directly mentioned in the post text.,gpt-4o-mini,746,67
,https://materialdistrict.com/material/cork-green-roof/,Cork,provide drainage; offer insulation,biobased green roof system,Extracted information from the row's description of the cork green roof.,gpt-4o-mini,777,58
,https://materialdistrict.com/material/cork-leather-2/,cork leather,provide durability; offer flexibility; ensure water repellency; reduce acoustic noise; allow customization,handmade custom bags,The application of handmade custom bags is derived from the material's properties and the text's mention of customizable design.,gpt-4o-mini,784,83
,https://materialdistrict.com/material/cork-leather/,Cork,provide durability; offer waterproofing; resist stains; repel dust; enable easy cleaning,eco-friendly upholstery for furniture,The application is derived from the material's properties and functions mentioned in the row.,gpt-4o-mini,747,78
,https://materialdistrict.com/material/cork-n-roll/,Cork Fabric,provide insulation; offer flexibility; resist abrasion; absorb sound; allow design versatility,acoustic wall panels,External knowledge about cork's properties and applications was used.,gpt-4o-mini,821,72
,https://materialdistrict.com/material/cork-plaster/,Cork,prevent water infiltration; form waterproof layer; provide insulation; resist scratches; allow moisture escape,decorative and protective wall coating,External knowledge about cork's properties was used.,gpt-4o-mini,831,72
,https://materialdistrict.com/material/cork-polymer-compounds-cpcs/,cork,reduce-CO₂ footprint; improve-thermal properties; improve-acoustic properties; enhance-grip performance,engineered flooring,The application of engineered flooring is explicitly mentioned in the text.,gpt-4o-mini,975,75
,https://materialdistrict.com/material/cork-rugs/,Cork,provide cushioning; offer insulation; enhance aesthetics; reduce noise,hand-woven decorative area rugs,External knowledge about cork's properties and applications in interior design was used.,gpt-4o-mini,819,69
,https://materialdistrict.com/material/cork-spray-paint/,cork,protect-nonstructive elements; improve-thermal insulation; improve-acoustic insulation; apply-coating,waterproof membrane for building surfaces,External knowledge on cork properties and applications was used.,gpt-4o-mini,775,75
,https://materialdistrict.com/material/cork-textile-surfaces/,cork,insulating-acoustic; insulating-thermal; covering-wall,interior wall coverings and panels,Used external knowledge about cork's properties for insulation.,gpt-4o-mini,730,64
,https://materialdistrict.com/material/cork-wallpaper/,Cork,provide texture; create acoustic insulation; offer fire resistance; enhance aesthetics,interior wall covering,"The application is derived from the description of the material as wallpaper, which serves a specific design purpose.",gpt-4o-mini,768,75
,https://materialdistrict.com/material/cork/,Cork,insulate-temperature; insulate-acoustics; resist-fire; resist-insects; serve-tack boards,decorative wall covering for offices,External knowledge used to identify wall covering as a specific application.,gpt-4o-mini,1207,80
,https://materialdistrict.com/material/corkleaf-corkskin/,cork,imitate-leather; transform-product; provide-flexibility; offer-resistance,flexible upholstery for furniture,Used external knowledge about cork applications in upholstery.,gpt-4o-mini,773,66
,https://materialdistrict.com/material/corkonlinen/,cork and linen,combine-durability; offer-sustainability; provide-flexibility,sustainable fashion accessories,External knowledge about sustainable materials and fashion applications was used.,gpt-4o-mini,767,65
,https://materialdistrict.com/material/corktex/,cork,prevent-bacteria; prevent-fungi; provide-soundproofing; offer-thermal-comfort; resist-abrasion,floor and wall lining material,External knowledge used to specify the application based on the context of use.,gpt-4o-mini,788,83
,https://materialdistrict.com/material/cornspan/,corn husk fibres,manufacture-panel; provide-insulation; absorb-moisture,sound and thermal insulation panels for construction,External knowledge on sustainable construction materials was used.,gpt-4o-mini,841,66
,https://materialdistrict.com/material/cornwall/,plant-based biomass,store CO₂; create strong bonds; provide wall finishing,biodegradable wall tiles,External knowledge about biodegradable materials and wall finishes was used.,gpt-4o-mini,1000,63
,https://materialdistrict.com/material/corques/,linoleum,create-naturallooking floor; install-seamlessly; set-durable surface,seamless resilient flooring solution,External knowledge about flooring applications was used.,gpt-4o-mini,853,65
,https://materialdistrict.com/material/corten-ceramic-tile/,ceramic,simulate steel appearance; resist corrosion; provide aesthetic finish,interior and exterior wall and floor tiles,External knowledge about ceramic tiles and their applications was used.,gpt-4o-mini,712,65
,https://materialdistrict.com/material/cotton-plaster/,cotton,cover-walls; absorb-sound; insulate-heat,seamless wall covering,External knowledge about cotton's properties was used to define application.,gpt-4o-mini,707,65
,https://materialdistrict.com/material/cottone-superbo-conchiglia/,cotton,transform-nacreous decor; combine-high transparent glass; produce-decorative sheets; cut-colour block; slice-veneer,decorative panels with unique designs,External knowledge about decorative panels and glass composites was used.,gpt-4o-mini,897,82
,https://materialdistrict.com/material/cottone-superbo-imperatore/,cotton,transform-nature; produce-sheet; combine-design,decorative glass panels,External knowledge used to identify the application as decorative glass panels.,gpt-4o-mini,877,60
,https://materialdistrict.com/material/cottonfloor/,cotton,seal-noun; insulate-heat; absorb-vibration; insulate-noise,custom-designed flooring solution,External knowledge about flooring applications was used.,gpt-4o-mini,746,67
,https://materialdistrict.com/material/cottonmix-ae-panel/,cellulose bound natural fibres,provide-sound insulation; create-seamless acoustic ceiling; allow-easy repair,hanging acoustic ceiling panels,External knowledge about acoustic panels was used to define the application.,gpt-4o-mini,775,71
,https://materialdistrict.com/material/cottonmix/,cellulose bound natural fibres,provide heat insulation; provide noise insulation; regulate air humidity; be non-toxic; be anti static,wall and ceiling finishes in multi-storey buildings,External knowledge about cellulose materials and their applications was used.,gpt-4o-mini,754,82
,https://materialdistrict.com/material/cowpot/,cow manure,biodegrade-pot; nourish-plants; mould-pot,biodegradable flower pots for gardening,The application of biodegradable flower pots is directly mentioned in the post text.,gpt-4o-mini,897,70
,https://materialdistrict.com/material/cpc-cork-polymer-composite/,Cork Polymer Composite,provide insulation; offer durability; serve as wall covering; act as floor covering,insulated wall and floor covering panels,External knowledge about composite applications was used.,gpt-4o-mini,752,69
,https://materialdistrict.com/material/crackle-glass/,glass,create-pattern; provide-translucence; offer-safety,decorative wall panels,The application is derived from the description of the glass panels used for decorative purposes.,gpt-4o-mini,839,65
,https://materialdistrict.com/material/crafted-felt/,wool felt,provide-acoustic insulation; customize-size; customize-shape; customize-colour,acoustic panels for sound absorption,External knowledge about acoustic applications of wool felt was used.,gpt-4o-mini,790,73
,https://materialdistrict.com/material/crea-lite/,glass,enable-personalisation; create-relief; add-colour,decorative transparent façade with historical images,External knowledge about decorative glass applications was used.,gpt-4o-mini,866,62
,https://materialdistrict.com/material/creacrete/,concrete,create-object; achieve-surface; reduce-cost; reduce-energy,thin-walled decorative objects,External knowledge about concrete applications was used.,gpt-4o-mini,767,63
,https://materialdistrict.com/material/creamelt-pla-hi/,PLA,print-noun; build-noun; adhere-noun; resist-noun,high precision 3D printed objects,External knowledge about 3D printing applications was used.,gpt-4o-mini,796,71
,https://materialdistrict.com/material/creamelt-rpet-fifty/,recycled PET,design-noun; print-noun; absorb-noun; maximize-noun,durable interior design objects,External knowledge about 3D printing applications was used.,gpt-4o-mini,829,70
,https://materialdistrict.com/material/creamelt-tpu-r-filament/,recycled plastic,print-flexible objects; offer-sustainable alternative,3D printed flexible objects from recycled materials,Used external knowledge about 3D printing applications.,gpt-4o-mini,762,61
,https://materialdistrict.com/material/creative-copper/,copper,shape effortlessly; complement glass; provide durability; enable recycling; offer elegance,roofing systems with fewer seams,External knowledge about roofing applications was used.,gpt-4o-mini,1046,68
,https://materialdistrict.com/material/criaterra-wall-tiles/,bio-geo stone,replace-building products; produce-masonry blocks; create-constructive elements; allow-mass production; provide-interior products,low carbon wall tiles,External knowledge about eco-friendly building materials was used.,gpt-4o-mini,748,79
,https://materialdistrict.com/material/crinson-wall-tiles/,Ceramics,provide aesthetic wall covering; resist fading and degradation; suit interior and exterior use; enable custom designs,decorative wall tiles for kitchens and bathrooms,External knowledge about wall tiles and their applications was used.,gpt-4o-mini,865,77
,https://materialdistrict.com/material/crispy/,post-consumer crisp packaging,transform-non-recyclable packaging; salvage-difficult-to-recycle plastic; demonstrate-potential for recycling,serving bowls for snacks,External knowledge on recycling complex plastics was used.,gpt-4o-mini,889,77
,https://materialdistrict.com/material/cristalite/,quartz,stop-germs; resist-cuts; resist-bumps; integrate-silver-ions,kitchen sink with hygienic surface,External knowledge about kitchen sinks and their hygienic properties was used.,gpt-4o-mini,718,77
,https://materialdistrict.com/material/cristallino/,glass,mixing-granules; grinding-grit; colouring-binder,floor and countertop tiles,External knowledge about the use of glass in flooring and countertops was applied.,gpt-4o-mini,749,67
,https://materialdistrict.com/material/cristallite/,plastic,cut-noun; saw-noun; mill-noun; resilient-adjective; scratch-resistant-adjective,kitchen countertops and sinks,External knowledge about common applications of plastic materials in kitchen design was used.,gpt-4o-mini,743,80
,https://materialdistrict.com/material/crush-paper/,paper,reduce-landfill; replace-virgin-pulp; offer-distinctive-appearance; provide-eco-friendly-option,wine label,The application of wine label is explicitly mentioned in the text.,gpt-4o-mini,862,73
,https://materialdistrict.com/material/crustic/,chitin,form-non-toxic plastic; promote-sustainable material; provide-biocompatibility,biocompatible plastic for sustainable products,External knowledge about chitin's properties and applications was used.,gpt-4o-mini,815,72
,https://materialdistrict.com/material/cruz-foam/,upcycled ingredients,replace-nonbiodegradable foam; provide-cushioning; offer-thermal insulation; ensure-vibration dampening,compostable shipping foam for cold-chain goods,External knowledge about compostable materials and packaging was used.,gpt-4o-mini,817,82
,https://materialdistrict.com/material/crylon/,acrylic,provide-clarity; offer-resistance; render-colour; allow-transparency,large-format acrylic glass sheets,External knowledge on acrylic applications was used.,gpt-4o-mini,770,67
,https://materialdistrict.com/material/crylux/,acrylic glass,provide transparency; offer durability; resist UV radiation; enable easy processing; enhance visual communication,corporate signage and display systems,External knowledge about acrylic applications was used.,gpt-4o-mini,958,74
,https://materialdistrict.com/material/crystal-fabric/,crystal glass,cover-noun; refine-verb; apply-verb,heat-pressed textile embellishments,Application inferred from the description of how Crystal Fabric is used.,gpt-4o-mini,836,66
,https://materialdistrict.com/material/crystal-inlay-2/,Crystal,enhance-aesthetic; create-inlay; combine-with-resin,luxury interior paneling,External knowledge about inlay techniques and luxury design was used.,gpt-4o-mini,786,64
,https://materialdistrict.com/material/crystal-inlay/,recycled glass,create finishes; blend colours; enhance hues; apply to surfaces,curved wall and pillar surfaces,Used external knowledge about the application of inlay materials in design.,gpt-4o-mini,817,70
,https://materialdistrict.com/material/crystal-mesh-metal-trimmings/,Crystal Mesh,integrate-crystals; apply-heat; glue-sew; fix-in-net,decorative textile accessories,External knowledge about textile applications was used.,gpt-4o-mini,881,66
,https://materialdistrict.com/material/crystal-rocks/,Glass,create-design element; apply-coating; activate-hotmelt; embed-chatons; glue-cavities,decorative crystal embellishments for fashion accessories,External knowledge about crystal applications in fashion was used.,gpt-4o-mini,779,78
,https://materialdistrict.com/material/cullus-molto/,polyester,absorb-sound; form-3D objects; meet-acoustic needs; clean-washable,hanging acoustic panels,External knowledge on acoustic panels was used to specify the application.,gpt-4o-mini,852,73
,https://materialdistrict.com/material/cullus/,Trevira CS,diffusing sound; enhancing absorption; providing flexibility,acoustic wall panels,External knowledge about acoustic wall panels was used to determine the application.,gpt-4o-mini,732,65
,https://materialdistrict.com/material/cumbrian-bone-marble/,bone,create-minerals; manufacture-materials; produce-rocks,human-made mineral collection for crafts,Used external knowledge about the material's context and potential applications.,gpt-4o-mini,989,65
,https://materialdistrict.com/material/cuncha-nasu-shell/,Cuncha Nasu Shell,create-decorative materials; enhance-luxurious look; arrange-chessboard pattern,decorative wall panels,The application is derived from the decorative use of the material as described in the post text.,gpt-4o-mini,734,80
,https://materialdistrict.com/material/curious/,Plastics,create-printing surfaces; provide-textures; enable-colour printing,packaging for food products,External knowledge about printing surfaces and packaging applications was used.,gpt-4o-mini,829,65
,https://materialdistrict.com/material/curv/,thermoplastic,combine-properties; capture-properties; produce-parts; enable-thermoforming,lightweight automotive components,External knowledge about automotive applications was used.,gpt-4o-mini,870,65
,https://materialdistrict.com/material/curvcor/,CurvCor,create-structural curves; offer-excellent pliability; provide-moisture barrier,curved architectural panels,The application is derived from the material's ability to create structural curves and its installation features.,gpt-4o-mini,728,75
,https://materialdistrict.com/material/curved-panels/,stainless steel,shield-windows; reduce-solar heat gain; optimize-day lighting; clad-surfaces; divide-spaces,curved architectural mesh systems,External knowledge used to identify the application as a specific architectural element.,gpt-4o-mini,844,81
,https://materialdistrict.com/material/custom-shaped-stainless-steel/,stainless steel,customize-component; define-finish; produce-pattern; create-design-effect; fabricate-panel,customized decorative metal panels,External knowledge about metal applications was used.,gpt-4o-mini,941,71
,https://materialdistrict.com/material/customised-composites/,composite,create-products; optimise-properties; integrate-functions,lightweight structural components for aerospace,External knowledge about composite applications in aerospace was used.,gpt-4o-mini,1112,61
,https://materialdistrict.com/material/customised-wallpaper-collection/,nonwoven paper,provide wall covering; print designs; resist weather,outdoor wall coverings,External knowledge used to define outdoor wall coverings as a specific application.,gpt-4o-mini,708,63
,https://materialdistrict.com/material/customize/,Plastics,create-bespoke materials; integrate-storytelling; combine-functionality; provide-perfect fit,customized wallcovering for interior design,External knowledge on customization in interior design was used.,gpt-4o-mini,1117,74
,https://materialdistrict.com/material/cutting-edge/,Cashmere wool,recycle-material; create-textile; secure-edges; generate-colours; provide-upholstery,textile mat for seat cover,External knowledge about textile applications was used.,gpt-4o-mini,844,74
