source,functions,application
Chimera by Shai Langen,transform-emulsion; create-film; experiment-shapes; change-viscosity,costume design using unique cellular structures
ChipChain,provide flexibility; enable vertical installation; support cable management,flexible vertical cable duct for public utility buildings
Chipps design OSB,transform-space; protect-panels; finish-surface; install-quickly,designer wall panels
Chocolate stone border,create decorative; provide durable; enhance aesthetic,kitchen backsplash design
Chroma,revive-wallpaper; reflect-sunlight; combine-designs,decorative wall covering
Chromashine,provide-hiding power; create-interference colours; enable-solvent substitution,metallic ink for screen printing
Chromazone,change-color; respond-to-temperature,temperature-sensitive promotional items
Chrome-optics,produce-mirroring surface; substitute-galvanisation process; apply-quickly; tint-colour,decorative surface for artworks
Chromyx,temperature-sensitive colour change; revert back to original colour; laminated finish; RF sealed structure; stitched design; printed surface,temperature-sensitive display panels
Ciba XYMARA Electra inks,print-circuits; save-costs; save-time,printed electronic circuits on paper
CicloBrick,reduce-waste; process-material; retain-properties,sustainable facade brick
CIMENTO®,create-surface; ensure-strength; provide-aesthetic; reduce-impact; transform-ideas,custom architectural surfaces
Circlefoam recycled pu foam,transform-noun; recycle-noun; custom-cut-noun; ensure-sustainability,custom-cut foam for furniture design
Circles,provide-light; ensure-safety; offer-insulation; enhance-design,glass paver for flooring and terraces
"CircuGlue Light, Medium, Heavy",apply-glue; detach-glued products; reuse-products; adhere-strongly,detachable adhesive for product assembly
Circular Ceramics,reduce-harm; preserve-resources; engineer-glaze; design-durability,handmade tableware for hospitality
Circular Collection – Shadows of Light,create-novel materials; recycle-porcelain; upscale-possibilities,sustainable translucent porcelain artifacts
Circular Concrete Cityscapes,upgrade-tile; create-shape; provide-drainage; enable-anti-slip,outdoor garden and street paving tiles
Circular Modular carpets,reduce waste; create unique designs; absorb sound; provide acoustic solutions,modular carpet tiles for interior spaces
Circular Terrazzo,transform-waste; integrate-glaze; create-tiles; forge-value,handmade flooring tiles
Circulation (HIVE),provide comfort-surface; create sculptural-simplicity; offer acoustic-absorption,custom-sized decorative rug
Cirt Piedra,create wall; provide robustness; form stairway; design bathroom; enhance living room,natural stone wall panels
Citrustex – Made from citrus,thickener-emulsions; stabilizer-suspensions; water-regulating-function; firming-gels,vegan luxury handbags
Classic-Panels Classic-Light,combine-noun; resist-noun; provide-noun; suit-noun,lightweight decorative wall panels
Classic-Panels Classic-Stone,provide aesthetic appeal; ensure water sealing; resist weather influences; offer thermal insulation; reduce weight,exterior wall cladding system
Classico,combine-appearance; achieve-insulation; bear-resemblance,glazing for monumental buildings
Clay Plaster,balance-humidity; absorb-moisture; release-moisture; create-healthy-environment; provide-durable-finish,interior wall finish
Claylime natural plasters,provide-non-toxic coating; create-decorative finish; apply-in layers,bi-component plaster for interior walls
Claytec,regulate-temperature; regulate-humidity; provide-acoustic-insulation; offer-thermal-mass; allow-reworking,non-loadbearing wall infill for timber frame construction
Claything,assemble-noun; transform-verb; create-verb; weave-verb; filter-noun,3D objects made from woven ceramic fabric
Cleaf,provide-structure; finish-surface; create-texture,interior decor panel with textured finish
Clean Air City Ceramics – bronze glaze,reduce particulate matter; reuse accumulated waste; support monolithic quality,custom tiles for sustainable vacation homes
Clean Air City Ceramics – waste glazes,improve air quality; reduce particulate matter; reuse residual waste,architectural glazes for air purification
CLEAN-AIR-CITY-CERAMICS,capture-particulate matter; eliminate-health risks; reflect-light; absorb-light; offer-textures; provide-layering,architectural tiles for building façades
Clear-PEP and AIR-board,combine-lightness; ensure-durability; provide-rigidity; offer-optical-features,translucent honeycomb panels for interior partitions
Clear TPU flock,provide durability; offer flexibility; enhance aesthetic,decorative upholstery fabric
Clearsorber,absorbent-panel; transparent-structure; micro-perforate-technology,transparent acoustic panel for conference rooms
Cleartint,enhance aesthetics; mask haze; maintain clarity,transparent food storage containers
Climacustic,absorb-sound; control-temperature; circulate-fluid,radiant heating and cooling panel system
ClimaLife,neutralise harmful particles; turn into non-toxic substances; self-cleaning surface,air-purifying concrete roof tiles
Climaplus Solar Control,reduce-solar heat gain; vary-light transmittance; provide-low-emissivity,solar control double-glazed units
Climatex Dualcycle,maximize comfort; absorb moisture; buffer moisture; evaporate moisture; provide breathability; enable recycling,office furniture upholstery
Climatex Lifecycle,soak up moisture; dissipate moisture; convert waste material,biodegradable upholstery fabric
Climatex LifeguardFR,provide-flame resistance; improve-ecology; ensure-breathability; control-moisture; enhance-comfort,upholstery for transportation seating
Cloud Softlight,provide-light; absorb-sound; create-enclosure; resist-tear; resist-UV; be-recyclable,luminous pendant light fixture
Cloudwool,support-novel forms; manufacture-sustainable textiles; craft-low-energy processes,non-woven textile for fashion
Cloudy,provide aesthetic roofing; resist time ageing; compete with ceramic tile,aesthetic roofing tiles for buildings
Club,create-novel designs; provide-glossy finish; enhance-visual appeal,decorative interior wallpaper
Coarse Concrete,resist-water; resist-dirt; reinforce-fibreglass; provide-texture,facade cladding and floor covering
Coatacoustic,absorbtion effect-sound waves; create-plenum; suspend-ceiling structure; attach-light spots,acoustic ceiling panels for sound absorption
Coated Aluminium,reflective-finish; durable-coating; aesthetic-enhancement,exterior facade panels
Coated linen slub,coated-fabric; provides-weather-resistance; offers-UV-protection,outdoor upholstery for furniture
CobalTex,reduce interference; provide shielding; offer flexibility,radiofrequency shielding fabric for electronic devices
Cocoa Marmoleum,provide-structure; sustain-eco-quality; create-texture,sustainable flooring solution
COCOA,recycle-waste; remould-material; repel-water; reduce-energy consumption,reusable packaging set for self-care products
Cocoboard©,provide moisture resistance; offer termite resistance; reduce formaldehyde emissions,bio-based interior paneling
Cocodots,combine-strength; provide-stability; create-decorative-structure,decorative wall panels
Kokoboard,provide insulation; control heat; control sound,heat and sound controlled room panels
Cocoform,offer formability; provide dimensional stability; enable heat forming,molded packaging components
Coconut mosaic panels,provide wall coverings; create 3D effect; offer warm look; enable easy installation,eco-friendly wall covering panels
Coconut Tiles,resist-decomposition; provide-mechanical resistance; create-homogeneous texture,interior wall cladding tiles
Cocoon Mesh,flame-resistant; cut-to-size; medium-weight,flame-resistant interior wall covering
Cocoon,wrap-noun; cover-noun; protect-noun; regain-noun,decorative luminaire shade
Cocoontec,repel-oil; avoid-soiling; provide-comfort,oil-repellent silk ties
Cocos Insulation,provide-acoustic damping; offer-levelling effect; exhibit-resilience; demonstrate-durability,floating floor insulation layer
Cod Leather,create texture; provide durability; allow dyeing; offer flexibility,fashion accessories like bags and wallets
Arabica Black (food safe),create-non-toxic sheets; produce-injection moulded objects; provide-scented material,flexible coffee-scented sheet material
Coffee Composite 1,create-3D shapes; hold-form; craft-toys,biodegradable toys and objects
Coffee Composite 2,create-naturally durable sheets; press-into moulds; dry-using dehydrator; shape-using cookie cutters,playful artistic objects for workshops
Coffee Panels,reuse-material; enhance-properties; biodegrade-material,biodegradable furniture panels
Coffee polymer,reduce-waste; provide-strength; enable-recyclability; support-biodegradability,biodegradable planters and golf tees
Coffee Tile,reduce carbon footprint; mimic ceramic tile; provide luxurious effect; enable recycling,bathroom and kitchen wall tiles
Coffee to Burn pellets,reduce-waste; increase-caloric value; decrease-CO2 emissions,high-efficiency pellet stove fuel
Coffeefrom® Bio,biodegradable-material; injection moulding; 3D printing,biodegradable tableware products
Coffeefrom® Eco,enhance-translucency; provide-flexibility; enable-injection molding,translucent packaging containers
Coffeefrom® Strong,enhance-colour; provide-rigidity; improve-mechanical-properties,injection moulded components with dark grainy finish
Coffire,mimic-textures; enhance-aesthetic; reduce-waste; ensure-safety,porcelain surface finishing technique
Colback,form-non-woven; consolidate-web; combine-yarns; provide-flexibility,primary backing for tufted carpets
ColdBlack,reflect-IR rays; absorb-heat; retain-black color,heat-reflective clothing for outdoor activities
Coldharbour fishing net tiles,repurpose-noun; capture-noun; design-noun,eco-friendly wall tiles
Collagen Peptide Fabric,natural deodorizing; sensitive skin friendly; thermoregulation; anti-UV,bedding and clothing fabrics
Collection AKOESTIEK,create-acoustic panels; improve-quality of life; provide-sound-absorbing effect,acoustic wall panels for interior design
Collection Glass,projecting-colours; resistant-wallpaper; embossed-mosaic; shock-resistant,decorative wall covering
ColorBlast solar panels,customisable-noun; design-noun; hardened-noun,custom coloured solar panel façade
ColorCore® Compact by Formica Group,provide-homogenous colour; enable-creative possibilities; allow-engraving features,interior design elements with engraved surfaces
ColorCore® by Formica Group,enhance-noun; offer-noun; provide-noun,reception desk with inlay effects
Colored Rigidized Textures,protect-noun; show-noun; create-noun,textured metal sheet products
Colour Anodized Titanium,provide electric isolation; offer biocompatibility; create colored appearance,color-anodized titanium implants
Colour Changing Glass,filter-light; create-interference; laminate-surface,architectural lighting panels
Colour changing materials,change colour; trigger effect; incorporate shapes,colour changing spoons for children
Colour Chips Glass,create-colour effect; integrate-colour; provide-depth; allow-customization,decorative wall panels
Colour Line,provide-protective seal; enhance-visual appeal; maintain-real wood feel,interior flooring planks
Colour Panels,combine-numerous techniques; create-colorful surfaces; enhance-interior aesthetics,colorful interior wall panels
Coloured Felt,reduce echo; absorb sound; regulate humidity; cleanse air; provide warmth,sound-absorbing wall panel
Coloured Solar panels,generate energy; integrate aesthetics; harmonise with façades,energy-generating building façade
Combisol,block-solar thermal energy; reduce-glare; allow-diffuse daylight; reflect-sunlight; transmit-diffuse light,daylight management system for buildings
Comfortemp,absorb-heat; release-heat; react-temperature; improve-cold protection,temperature-regulating textile for clothing
Common Sands – Forite,integrate-glass; recycle-waste; celebrate-variability; cover-surfaces; partition-elements,architectural glass tiles
Compacfoam,provide insulation; offer compressive strength; maintain lightweight properties,thermal insulation panels for buildings
CompacMel Plus,offer solutions; provide resistance; support applications,kitchen worktops and bathroom facilities
Compact Panel – Trend,absorb-sound; install-easily; design-flexibly,acoustic wall and ceiling panels
Compact Tile,reduce porosity; provide hardness; allow precise dimensioning; enable monolithic structure,floor tiles for heavy use
Compensatiesteen,absorb-CO2; create-construction material; cut-blocks; equip-profile,non-supporting wall blocks
Completely 100% recylced Polydrop,manufacture-sheets; process-normal; utilize-post industrial waste,decorative product solutions
Complite,reinforce-wood; harden-wood cells; process-like wood,high-strength furniture
Compodeen,provide strength; resist weather; enable recyclability,weather-resistant outdoor furniture
Compose handwoven textile,combine-noun; design-verb; translate-verb,exclusive rugs or wall hangings
Composite stone,prevent thermal bridges; resist frost; resist alkalis; avoid dirt breeding ground; provide natural appearance,outdoor paving stones
Compostboard,energize-organisms; keep-minerals; create-hummus,interior sheet material for living spaces
CON-Cover,provide-surface solution; combine-properties; produce-products; mold-parts; cover-surfaces,floor covering for living and office areas
CON-Pearl,provide strength; offer durability; resist corrosion; allow lightweight design; enable weather resistance,interior panels for vehicles
Conbou Bamboo,reduce-waste; utilize-resource; create-structure; maximize-surface; distribute-forces,self-supporting lightweight elements for outdoor use
Concept wood,provide-nature; suggest-wellbeing; create-harmony,interior wall paneling
Concreate,improve quality; bond layers; stay mould free; provide flexibility; resist weather; resist fire,weather and fire-proof building panels
Concrete Cloth,harden-noun; form-noun; water proof-noun; fire proof-noun; provide-noun,building cladding and roofing systems
Concrete Crochet Tiles,create-tile; capture-pattern; provide-durability; offer-aesthetic,decorative floor and wall tiles
Concrete Curtain,serve-sunscreen; serve-windscreen; serve-privacy screen; act-facade element; act-heat accumulating room partition,flexible outdoor privacy screen
Concrete & Glass,provide strength; create shiny surface; offer durability; resist weathering,building façade cladding
Concrete Lace,cast-tile; create-divider; provide-decor; resist-weather,decorative wall coverings for public buildings
Concrete-Silicone,fuse materials; create contrast; enhance warmth; provide translucence; offer organic look,light fixture with contrasting materials
Concrete skin vintage,reflect-nature; restore-surface; clad-facade,façade cladding panels
Concrete skin,create-furniture; provide-texture; simulate-skin,outdoor seating structures
Concrete wallpaper,transform-space; hide-damages,interior wall covering
Conductive Stretch Fabric,conductive-noun; antibacterial-noun; stretchy-noun,antibacterial wound dressing
Conductive tape,connect-LED’s; allow-elasticity; adapt-width,electrical connection tape for LED installations
Conifer needles panels,sound-absorbing panel; decorative wall; sustainable material usage,acoustic wall panels for interior design
Connection Safety Glass,prevent shattering; improve noise resistance; incorporate images; add depth,decorative safety glass panels
CONNECTION WALLS,create-environment; provide-recyclability; enable-setup; facilitate-dismantling,reusable wall panels for events
Conscience fabrics,integrate designs; offer solutions; create projects; combine quality; ensure sustainability,sustainable interior textiles for residential spaces
Constructive glass,constructive-material; transparent-division,glass house structure
Contemporary Textiles,create wall panels; provide acoustic insulation; serve as room dividers,acoustic wall panels for public spaces
Contender Woven Sailcloth,provide-strength; offer-UV-resistance; enable-dense-weaving; optimize-handling; enhance-performance,racing sail for dinghies
Contra-H,flame-retardant material; textural surface; paintable substrate,theatrical backdrop fabric
Contract Base,reduce odour; lower flammability; minimize VOC emissions,commercial carpet backing for high-traffic areas
Contur,deliver warmth; provide flexibility; enable recyclability,outerwear and gloves
Conturax,provide thermal resistance; offer geometric accuracy; ensure surface quality; allow custom shapes,laboratory glass tubing with custom angles
CoolCork,transform-noun; create-noun; develop-noun,durable upholstery and acoustic panels
Cooley-Brite® Lite,provide flexibility; enable eradicability; resist UV; withstand weather,signage and awning materials
Coolguard™ HR,handle-petrochemicals; provide-flexibility; create-complex-details; offer-UV-resistance; ensure-puncture-resistance,geomembrane liner for lagoons and ponds
CoolJeans,repurpose-noun; develop-solution; spray-coating; upholster-furniture; refurbish-product; acoustic-solution,upholstered acoustic panels
CoolLeather,spray-coating; refurbish-furniture; reduce-CO2 footprint; enhance-acoustics,upholstery for furniture and acoustic panels
Cooltrax,prevent-heat accumulation; create-light and shadow fields; withstand-high wind loads; reduce-rain noise; protect-window material,outdoor shading system for windows
Copper and Brass Wire Mesh,filter-particles; weave-mesh; resist-corrosion; support-structures,wire mesh screens for filtration systems
Copper Moss,conduct electricity; form structures,decorative wall art with moss-like patterns
Copper Slag Geopolymer,reduce CO2 footprint; provide thermal resistance; offer high durability; ensure corrosion resistance; enable partial recyclability,geopolymer concrete for construction
Copper tiles collection,create-covering; provide-aesthetic; laminate-between-glass,mosaic wall panels for interior design
Copperant paint,reduce CO2; provide protection; dry quickly; cover surfaces,biobased wall paint for interior use
Coppo,allow-light; blend-in; improve-adherence; obtain-non-slip-effect,transparent curved roof tiles
Coquim coconut fibre,retain-water; act-fungicide; biodegrade-naturally,biodegradable plant pots
Corafoam,replace wood; create shapes; resist moisture; resist mould; resist deterioration,signage and model carving material
Coral & Magic Oak,create surface appearance; provide easy installation; offer vivid appearance,engineered wood flooring
Corcrete,provide insulation; offer durability; enhance aesthetics; improve acoustics,acoustic wall panels
CORDURA combat wool,manage-odours; provide-breathability; offer-waterproofing; allow-stretch,outdoor performance clothing
Cordura Nyco fabric,provide-abrasion resistance; offer-comfort; ensure-durability; meet-flame retardant standards; provide-anti-static protection,military uniforms and workwear
Corduroy,blend-fabric; provide-texture; offer-durability,upholstered furniture
Coremat,prevent resin up-take; increase stiffness; save weight; build thickness,lightweight laminate core material
Corian Nuwood,mimic natural wood; create seamless appearance; withstand daily use; easily refinished,kitchen countertops with wood aesthetic
Corian Onyx,create-surface; withstand-daily use; allow-easy cleaning; enable-seamless appearance; refinish-original appearance,kitchen countertops with seamless design
Corian Resilience Technology,enable damage forgiveness; facilitate stain removal; reduce maintenance needs; lessen physical damage,kitchen countertops with enhanced durability
Corium bonded leather,provide elasticity; offer resistance; allow malleability; enable natural appearance,book covers and bags
Cork Fabric,provide cushioning; offer insulation; create textures; allow for flexibility,upholstered furniture covering
Cork façade,insulating-material; acoustic-material; damming-material,façade cladding panels
Cork green roof,provide drainage; offer insulation,biobased green roof system
Cork leather,provide durability; offer flexibility; ensure water repellency; reduce acoustic noise; allow customization,handmade custom bags
Cork Leather,provide durability; offer waterproofing; resist stains; repel dust; enable easy cleaning,eco-friendly upholstery for furniture
Cork Fabric,provide insulation; offer flexibility; resist abrasion; absorb sound; allow design versatility,acoustic wall panels
Cork plaster,prevent water infiltration; form waterproof layer; provide insulation; resist scratches; allow moisture escape,decorative and protective wall coating
CPCs – Cork Polymer Compounds,reduce-CO₂ footprint; improve-thermal properties; improve-acoustic properties; enhance-grip performance,engineered flooring
Cork rugs,provide cushioning; offer insulation; enhance aesthetics; reduce noise,hand-woven decorative area rugs
Cork Spray Paint,protect-nonstructive elements; improve-thermal insulation; improve-acoustic insulation; apply-coating,waterproof membrane for building surfaces
Cork Textile & Surfaces,insulating-acoustic; insulating-thermal; covering-wall,interior wall coverings and panels
Cork Wallpaper,provide texture; create acoustic insulation; offer fire resistance; enhance aesthetics,interior wall covering
Cork,insulate-temperature; insulate-acoustics; resist-fire; resist-insects; serve-tack boards,decorative wall covering for offices
Corkleaf & Corkskin,imitate-leather; transform-product; provide-flexibility; offer-resistance,flexible upholstery for furniture
CORKonLINEN,combine-durability; offer-sustainability; provide-flexibility,sustainable fashion accessories
Corktex,prevent-bacteria; prevent-fungi; provide-soundproofing; offer-thermal-comfort; resist-abrasion,floor and wall lining material
Cornspan,manufacture-panel; provide-insulation; absorb-moisture,sound and thermal insulation panels for construction
CornWall,store CO₂; create strong bonds; provide wall finishing,biodegradable wall tiles
Corques,create-naturallooking floor; install-seamlessly; set-durable surface,seamless resilient flooring solution
Corten Ceramic Tile,simulate steel appearance; resist corrosion; provide aesthetic finish,interior and exterior wall and floor tiles
Cotton Plaster,cover-walls; absorb-sound; insulate-heat,seamless wall covering
Cottone Superbo Conchiglia,transform-nacreous decor; combine-high transparent glass; produce-decorative sheets; cut-colour block; slice-veneer,decorative panels with unique designs
Cottone Superbo Imperatore,transform-nature; produce-sheet; combine-design,decorative glass panels
Cottonfloor,seal-noun; insulate-heat; absorb-vibration; insulate-noise,custom-designed flooring solution
Cottonmix AE panel,provide-sound insulation; create-seamless acoustic ceiling; allow-easy repair,hanging acoustic ceiling panels
Cottonmix,provide heat insulation; provide noise insulation; regulate air humidity; be non-toxic; be anti static,wall and ceiling finishes in multi-storey buildings
Cowpot,biodegrade-pot; nourish-plants; mould-pot,biodegradable flower pots for gardening
CPC Cork Polymer composite,provide insulation; offer durability; serve as wall covering; act as floor covering,insulated wall and floor covering panels
Crackle glass,create-pattern; provide-translucence; offer-safety,decorative wall panels
Crafted Felt,provide-acoustic insulation; customize-size; customize-shape; customize-colour,acoustic panels for sound absorption
Crea-Lite,enable-personalisation; create-relief; add-colour,decorative transparent façade with historical images
Creacrete,create-object; achieve-surface; reduce-cost; reduce-energy,thin-walled decorative objects
CREAMELT® PLA-HI,print-noun; build-noun; adhere-noun; resist-noun,high precision 3D printed objects
CREAMELT® rPET fifty,design-noun; print-noun; absorb-noun; maximize-noun,durable interior design objects
Creamelt TPU-R filament,print-flexible objects; offer-sustainable alternative,3D printed flexible objects from recycled materials
Creative Copper,shape effortlessly; complement glass; provide durability; enable recycling; offer elegance,roofing systems with fewer seams
Criaterra wall tiles,replace-building products; produce-masonry blocks; create-constructive elements; allow-mass production; provide-interior products,low carbon wall tiles
Crinson Wall Tiles,provide aesthetic wall covering; resist fading and degradation; suit interior and exterior use; enable custom designs,decorative wall tiles for kitchens and bathrooms
Crispy,transform-non-recyclable packaging; salvage-difficult-to-recycle plastic; demonstrate-potential for recycling,serving bowls for snacks
Cristalite,stop-germs; resist-cuts; resist-bumps; integrate-silver-ions,kitchen sink with hygienic surface
Cristallino,mixing-granules; grinding-grit; colouring-binder,floor and countertop tiles
Cristallite,cut-noun; saw-noun; mill-noun; resilient-adjective; scratch-resistant-adjective,kitchen countertops and sinks
Crush paper,reduce-landfill; replace-virgin-pulp; offer-distinctive-appearance; provide-eco-friendly-option,wine label
Crustic,form-non-toxic plastic; promote-sustainable material; provide-biocompatibility,biocompatible plastic for sustainable products
Cruz Foam,replace-nonbiodegradable foam; provide-cushioning; offer-thermal insulation; ensure-vibration dampening,compostable shipping foam for cold-chain goods
CRYLON®,provide-clarity; offer-resistance; render-colour; allow-transparency,large-format acrylic glass sheets
CRYLUX®,provide transparency; offer durability; resist UV radiation; enable easy processing; enhance visual communication,corporate signage and display systems
Crystal Fabric,cover-noun; refine-verb; apply-verb,heat-pressed textile embellishments
Crystal inlay,enhance-aesthetic; create-inlay; combine-with-resin,luxury interior paneling
Crystal Inlay,create finishes; blend colours; enhance hues; apply to surfaces,curved wall and pillar surfaces
Crystal Mesh & Metal Trimmings,integrate-crystals; apply-heat; glue-sew; fix-in-net,decorative textile accessories
Crystal Rocks,create-design element; apply-coating; activate-hotmelt; embed-chatons; glue-cavities,decorative crystal embellishments for fashion accessories
Cullus Molto,absorb-sound; form-3D objects; meet-acoustic needs; clean-washable,hanging acoustic panels
Cullus,diffusing sound; enhancing absorption; providing flexibility,acoustic wall panels
Cumbrian Bone Marble,create-minerals; manufacture-materials; produce-rocks,human-made mineral collection for crafts
Cuncha Nasu Shell,create-decorative materials; enhance-luxurious look; arrange-chessboard pattern,decorative wall panels
Curious,create-printing surfaces; provide-textures; enable-colour printing,packaging for food products
Curv,combine-properties; capture-properties; produce-parts; enable-thermoforming,lightweight automotive components
CurvCor,create-structural curves; offer-excellent pliability; provide-moisture barrier,curved architectural panels
Curved Panels,shield-windows; reduce-solar heat gain; optimize-day lighting; clad-surfaces; divide-spaces,curved architectural mesh systems
Custom Shaped Stainless Steel,customize-component; define-finish; produce-pattern; create-design-effect; fabricate-panel,customized decorative metal panels
3D printed customised composites,create-products; optimise-properties; integrate-functions,lightweight structural components for aerospace
Customised Wallpaper Collection,provide wall covering; print designs; resist weather,outdoor wall coverings
CUSTOMIZE,create-bespoke materials; integrate-storytelling; combine-functionality; provide-perfect fit,customized wallcovering for interior design
Cutting-Edge,recycle-material; create-textile; secure-edges; generate-colours; provide-upholstery,textile mat for seat cover
Cyalith,produce-materials; avoid-firing; reduce-carbon-footprint; create-decorative-tiles,decorative ceramic tile alternatives
Cyclin®,reduce-reverberation times; prevent-noise entry; contribute-energy efficiency; participate-carbon sequestration,acoustic insulation panels for indoor environments
D-Carb White cement,reduce CO₂ emissions; maintain early strength; deliver rheological properties; ensure smooth finishes,self-compacting concrete mix
D-ko expanded metal,provide-structure; enhance-durability; allow-customization,custom metal panels for building finishing
D-sign weave,weaving technique; custom made; strong panels,stainless steel finishing panels in buildings
D2W,make biodegradable; address plastic waste; fall into pieces; be bioassimilated,biodegradable shopping bags
d3o mesh,absorb-impact; provide-flexibility; enhance-breathability,protective sports padding
Dacryl,provide transparency; offer shock resistance; resist water; resist chemicals,transparent safety glazing panels
Daemwool natural wool insulation,insulate-rooms; protect-against overheating; neutralise-harmful gasses; provide-acoustic insulation; resist-fire,roof and ceiling insulation
Dakota Burl,provide aesthetic; allow staining; mimic traditional wood,decorative wall panels
Dalsouple,offer design flexibility; provide colour variety; enable customisation; support interlocking installation,interlocking floor tiles for indoor spaces
Damasco,create effects; enrich aesthetics; laminate sheets,decorative wall panels
Dapple Smile Plastics,create-sheets; add-colour; recycle-containers,recycled plastic sheets for interior design
Daylight panels,block-view; let-daylight-pass,rear wall panels for retail spaces
Déchirer,provide-flooring; create-wall-covering; offer-decorative-patterns,large-format hexagonal wall tiles
Decafé,create-composite material; provide-aroma; resist-heat; enhance-design,decorative lamp resembling a coffee cup
Decalised glass,decorate-object; insert-pigments; enhance-durability; facilitate-cleaning,decorative glass panels for interiors
Decallisation,apply-coating; protect-layer; decorate-surface; resist-scratch; resist-UV,decorative coatings for metal and ceramics
Decking solutions,provide structural support; resist weather damage; offer aesthetic finish,outdoor decking for boats
DecNord Luxpanels,preserve-aesthetic; support-sustainability; provide-durability,modern wall paneling
Deco S,resist red wine; resist acid; provide good mechanical characteristics; provide good chemical characteristics; allow easy working,high-gloss polished surfaces for countertops
Deco Wired Glass,reinforce-glass; hold-fragments; produce-textures,decorative partitions
DecoLegno HPL Specials,create-furniture; inspire-interior design; translate-decors; apply-flooring,bespoke furniture and interior concepts
DECOPROYEC SPRAY CORK,protect-noun; finish-noun; resist-noun; combine-noun,elastic surface protection for walls and roofs
Decoral Process,coat-metal; transfer-inks; print-patterns; provide-properties,decorative metal finishes
Decorandum,provide structural support; bond with other materials; offer surface finishing; enable lightweight design,kitchen cabinetry and fixtures
Decorated Metal Mesh,reflect-light; solder-decorations; stretch-tension,decorative room divider
Decorex,adapted-noun; deforming-noun; stamping-noun; decorative-noun; corrosion-noun,body of mobile phones and kitchen appliances
DecorFlou,transmit-light; diffuse-light; resist-marking; resist-abrasion,partitions for defining separate environments
DecorGem,coat-surface; partition-segment; process-material; decorate-interior,enamelled glass sheets for interior design
Decoro,enhance-decorative elements; chrome-tan-leather; aniline-dye-leather,decorative elements for custom designs
Decortile,add-depth; diversify-colours; create-patterns; convey-movement,decorative wall panels
DEEP 3D Wallpaper,engage-eye; fray-boundary; create-dimension,3D decorative wall covering
Deep Sea,add-color; create-pattern; enhance-aesthetic,decorative wall tiles
Defense,weaving-nonserial; processing-custom; finishing-stainless,custom stainless steel panels for building facades
Dega Art,create-surface; resist-wear; resist-traffic; provide-aesthetic,seamless flooring for commercial spaces
Dejection-molding,replace recycled paper; remolded ad infinitum; transport in cellulose molding,biodegradable packaging materials
Dekoart,create-novel designs; apply-gold leaf; protect-surface,decorative wall panels
Dekolux Fossil,create light; design atmosphere,backlit decorative panels
Dekolux,reflect-light; produce-luminous effects; allow-back illumination,decorative wall panels with backlighting
Dekopix,embed-print; provide-scratch-resistance; ensure-moisture-impermeability,custom printed laminate surface
Dekorial,provide decorative surfaces; offer various finishes; combine with structures,interior wall cladding panels
Dekovario,combine-noun; produce-noun,surface structure variations for interior design
Dekton Industrial recycled,create-narrative; inspire-aesthetic; combine-colors,interior wall cladding
Demidekk Ultimate Helmatt,accentuates-wood structure; fast-drying-coating; waterborne-stain; elastic-coating,wood-rich façade elements
Demidekk Ultimate Täckfärg,protect-noun; accentuate-noun; durable-noun; maintain-noun,outdoor wood façade coating
DendroLight Building Block (BB),replace-construction materials; provide-heat isolation; provide-sound isolation; support-structural wall; support-floor panel; support-ceiling panel,structural wall and floor panel
DendroLight core material,ensure strength; achieve stability; allow processing,lightweight structural panels
DendroLight Table Tops,reinforce-noun; increase-bending strength; create-form; mount-mechanisms; damp-vibration,lightweight table tops with free spans
Denimolite,transform-waste; reduce-reliance; maintain-strength; enhance-durability,interior wall panels
DenimX Material Collection,combine-materials; offer-sustainability; provide-aesthetics,interior design elements
Denimx,create-non waste products; upgrade-textile waste; combine-recycled materials; meet-aesthetic requirements; optimize-material properties,furniture and lighting products
Denuo,repurpose-waste; create-lighting fixtures; produce-warm light; support-sustainability,lighting fixtures made from waste materials
Derbipure,reflective-coating; passive-cooling; pollution-prevention; water-recycling,roofing membrane for buildings
Derbisolar,generate electricity; provide waterproofing; ensure adhesion; integrate discreetly,watertight roof lining with integrated photovoltaic cells
Dermofresh FR,manage moisture; enhance comfort; provide breathability; offer waterproofing; ensure non-toxicity,protective covering for beds
DESARDI Classic Non-Woven,preventing bacteria; providing antimicrobial protection; integrating in decoration,hygienic wallcovering for hospitals
Desert Dunes,create-cracked effect; resist-weather; resist-fire; provide-texture,decorative wall panels
Design-Aero,provide-protection; reduce-noise; conceal-utilities; enable-easy-fitting,suspended ceiling system for buildings
Design Coconut Tiles,provide resistance to decomposing; offer insect attack protection; create unique design appearance,decorative wall tiles with metallic finish
Design concrete,provide-colour; resist-abrasion; resist-staining; apply-seamlessly; tailor-finish,waterproof flooring for kitchens and bathrooms
Design Felt,create-finish; provide-atmosphere; maintain-shape; require-maintenance,acoustic wall panels
Design induction hobs,minimize-environmental impact; provide-clean energy cooking; inspire-kitchen design,induction cooking hob with extraction system
Design Panel,provide-sun protection; provide-wind protection; act-as-separation wall,sun and wind protection fence
Design Sheets,enable precise shaping; increase stiffness; allow custom designs,lightweight structural sheets for building
Designers Collection,provide aesthetic; offer durability; resist scratching,interior wall paneling
Desserto® cactus leather,provide durability; offer flexibility; ensure sustainability; reduce environmental impact,vegan leather handbags
Dexter,provide privacy; block light; enhance decor,curtain for windows
