source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
completely 100 recylced polydrop,manufacture sheets,process normal,utilize post industrial waste,,,,decorative product solutions
complite,reinforce wood,harden wood cells,process like wood,,,,high strength furniture
compodeen,provide strength,resist weather,enable recyclability,,,,weather resistant outdoor furniture
compose handwoven textile,combine noun,design verb,translate verb,,,,exclusive rugs or wall hangings
composite stone,prevent thermal bridges,resist frost,resist alkalis,avoid dirt breeding ground,provide natural appearance,,outdoor paving stones
compostboard,energize organisms,keep minerals,create hummus,,,,interior sheet material for living spaces
con cover,provide surface solution,combine properties,produce products,mold parts,cover surfaces,,floor covering for living and office areas
con pearl,provide strength,offer durability,resist corrosion,allow lightweight design,enable weather resistance,,interior panels for vehicles
conbou bamboo,reduce waste,utilize resource,create structure,maximize surface,distribute forces,,self supporting lightweight elements for outdoor use
concept wood,provide nature,suggest wellbeing,create harmony,,,,interior wall paneling
concreate,improve quality,bond layers,stay mould free,provide flexibility,resist weather,resist fire,weather and fire proof building panels
concrete cloth,harden noun,form noun,water proof noun,fire proof noun,provide noun,,building cladding and roofing systems
concrete crochet tiles,create tile,capture pattern,provide durability,offer aesthetic,,,decorative floor and wall tiles
concrete curtain,serve sunscreen,serve windscreen,serve privacy screen,act facade element,act heat accumulating room partition,,flexible outdoor privacy screen
concrete glass,provide strength,create shiny surface,offer durability,resist weathering,,,building façade cladding
concrete lace,cast tile,create divider,provide decor,resist weather,,,decorative wall coverings for public buildings
concrete silicone,fuse materials,create contrast,enhance warmth,provide translucence,offer organic look,,light fixture with contrasting materials
concrete skin vintage,reflect nature,restore surface,clad facade,,,,façade cladding panels
concrete skin,create furniture,provide texture,simulate skin,,,,outdoor seating structures
concrete wallpaper,transform space,hide damages,,,,,interior wall covering
conductive stretch fabric,conductive noun,antibacterial noun,stretchy noun,,,,antibacterial wound dressing
conductive tape,connect led s,allow elasticity,adapt width,,,,electrical connection tape for led installations
connection safety glass,prevent shattering,improve noise resistance,incorporate images,add depth,,,decorative safety glass panels
connection walls,create environment,provide recyclability,enable setup,facilitate dismantling,,,reusable wall panels for events
conscience fabrics,integrate designs,offer solutions,create projects,combine quality,ensure sustainability,,sustainable interior textiles for residential spaces
constructive glass,constructive material,transparent division,,,,,glass house structure
contemporary textiles,create wall panels,provide acoustic insulation,serve as room dividers,,,,acoustic wall panels for public spaces
contender woven sailcloth,provide strength,offer uv resistance,enable dense weaving,optimize handling,enhance performance,,racing sail for dinghies
contra h,flame retardant material,textural surface,paintable substrate,,,,theatrical backdrop fabric
contract base,reduce odour,lower flammability,minimize voc emissions,,,,commercial carpet backing for high traffic areas
contur,deliver warmth,provide flexibility,enable recyclability,,,,outerwear and gloves
conturax,provide thermal resistance,offer geometric accuracy,ensure surface quality,allow custom shapes,,,laboratory glass tubing with custom angles
coolcork,transform noun,create noun,develop noun,,,,durable upholstery and acoustic panels
cooley brite lite,provide flexibility,enable eradicability,resist uv,withstand weather,,,signage and awning materials
coolguardtm hr,handle petrochemicals,provide flexibility,create complex details,offer uv resistance,ensure puncture resistance,,geomembrane liner for lagoons and ponds
cooljeans,repurpose noun,develop solution,spray coating,upholster furniture,refurbish product,acoustic solution,upholstered acoustic panels
coolleather,spray coating,refurbish furniture,reduce co2 footprint,enhance acoustics,,,upholstery for furniture and acoustic panels
cooltrax,prevent heat accumulation,create light and shadow fields,withstand high wind loads,reduce rain noise,protect window material,,outdoor shading system for windows
copper and brass wire mesh,filter particles,weave mesh,resist corrosion,support structures,,,wire mesh screens for filtration systems
copper moss,conduct electricity,form structures,,,,,decorative wall art with moss like patterns
copper slag geopolymer,reduce co2 footprint,provide thermal resistance,offer high durability,ensure corrosion resistance,enable partial recyclability,,geopolymer concrete for construction
copper tiles collection,create covering,provide aesthetic,laminate between glass,,,,mosaic wall panels for interior design
copperant paint,reduce co2,provide protection,dry quickly,cover surfaces,,,biobased wall paint for interior use
coppo,allow light,blend in,improve adherence,obtain non slip effect,,,transparent curved roof tiles
corafoam,replace wood,create shapes,resist moisture,resist mould,resist deterioration,,signage and model carving material
coral magic oak,create surface appearance,provide easy installation,offer vivid appearance,,,,engineered wood flooring
cordura combat wool,manage odours,provide breathability,offer waterproofing,allow stretch,,,outdoor performance clothing
cordura nyco fabric,provide abrasion resistance,offer comfort,ensure durability,meet flame retardant standards,provide anti static protection,,military uniforms and workwear
corduroy,blend fabric,provide texture,offer durability,,,,upholstered furniture
coremat,prevent resin up take,increase stiffness,save weight,build thickness,,,lightweight laminate core material
corian nuwood,mimic natural wood,create seamless appearance,withstand daily use,easily refinished,,,kitchen countertops with wood aesthetic
corian onyx,create surface,withstand daily use,allow easy cleaning,enable seamless appearance,refinish original appearance,,kitchen countertops with seamless design
corian resilience technology,enable damage forgiveness,facilitate stain removal,reduce maintenance needs,lessen physical damage,,,kitchen countertops with enhanced durability
corium bonded leather,provide elasticity,offer resistance,allow malleability,enable natural appearance,,,book covers and bags
cork fabric,provide cushioning,offer insulation,create textures,allow for flexibility,,,upholstered furniture covering
cork green roof,provide drainage,offer insulation,,,,,biobased green roof system
cork leather,provide durability,offer flexibility,ensure water repellency,reduce acoustic noise,allow customization,,handmade custom bags
cork plaster,prevent water infiltration,form waterproof layer,provide insulation,resist scratches,allow moisture escape,,decorative and protective wall coating
cpcs cork polymer compounds,reduce co2 footprint,improve thermal properties,improve acoustic properties,enhance grip performance,,,engineered flooring
cork rugs,provide cushioning,offer insulation,enhance aesthetics,reduce noise,,,hand woven decorative area rugs
cork spray paint,protect nonstructive elements,improve thermal insulation,improve acoustic insulation,apply coating,,,waterproof membrane for building surfaces
cork textile surfaces,insulating acoustic,insulating thermal,covering wall,,,,interior wall coverings and panels
cork,insulate temperature,insulate acoustics,resist fire,resist insects,serve tack boards,,decorative wall covering for offices
corkleaf corkskin,imitate leather,transform product,provide flexibility,offer resistance,,,flexible upholstery for furniture
corkonlinen,combine durability,offer sustainability,provide flexibility,,,,sustainable fashion accessories
corktex,prevent bacteria,prevent fungi,provide soundproofing,offer thermal comfort,resist abrasion,,floor and wall lining material
cornspan,manufacture panel,provide insulation,absorb moisture,,,,sound and thermal insulation panels for construction
cornwall,store co2,create strong bonds,provide wall finishing,,,,biodegradable wall tiles
corques,create naturallooking floor,install seamlessly,set durable surface,,,,seamless resilient flooring solution
corten ceramic tile,simulate steel appearance,resist corrosion,provide aesthetic finish,,,,interior and exterior wall and floor tiles
cotton plaster,cover walls,absorb sound,insulate heat,,,,seamless wall covering
cottone superbo conchiglia,transform nacreous decor,combine high transparent glass,produce decorative sheets,cut colour block,slice veneer,,decorative panels with unique designs
cottone superbo imperatore,transform nature,produce sheet,combine design,,,,decorative glass panels
cottonfloor,seal noun,insulate heat,absorb vibration,insulate noise,,,custom designed flooring solution
cottonmix ae panel,provide sound insulation,create seamless acoustic ceiling,allow easy repair,,,,hanging acoustic ceiling panels
cottonmix,provide heat insulation,provide noise insulation,regulate air humidity,be non toxic,be anti static,,wall and ceiling finishes in multi storey buildings
cowpot,biodegrade pot,nourish plants,mould pot,,,,biodegradable flower pots for gardening
cpc cork polymer composite,provide insulation,offer durability,serve as wall covering,act as floor covering,,,insulated wall and floor covering panels
crafted felt,provide acoustic insulation,customize size,customize shape,customize colour,,,acoustic panels for sound absorption
crea lite,enable personalisation,create relief,add colour,,,,decorative transparent façade with historical images
creacrete,create object,achieve surface,reduce cost,reduce energy,,,thin walled decorative objects
creamelt pla hi,print noun,build noun,adhere noun,resist noun,,,high precision 3d printed objects
creamelt rpet fifty,design noun,print noun,absorb noun,maximize noun,,,durable interior design objects
creamelt tpu r filament,print flexible objects,offer sustainable alternative,,,,,3d printed flexible objects from recycled materials
creative copper,shape effortlessly,complement glass,provide durability,enable recycling,offer elegance,,roofing systems with fewer seams
criaterra wall tiles,replace building products,produce masonry blocks,create constructive elements,allow mass production,provide interior products,,low carbon wall tiles
crinson wall tiles,provide aesthetic wall covering,resist fading and degradation,suit interior and exterior use,enable custom designs,,,decorative wall tiles for kitchens and bathrooms
crispy,transform non recyclable packaging,salvage difficult to recycle plastic,demonstrate potential for recycling,,,,serving bowls for snacks
cristalite,stop germs,resist cuts,resist bumps,integrate silver ions,,,kitchen sink with hygienic surface
cristallino,mixing granules,grinding grit,colouring binder,,,,floor and countertop tiles
cristallite,cut noun,saw noun,mill noun,resilient adjective,scratch resistant adjective,,kitchen countertops and sinks
crush paper,reduce landfill,replace virgin pulp,offer distinctive appearance,provide eco friendly option,,,wine label
crustic,form non toxic plastic,promote sustainable material,provide biocompatibility,,,,biocompatible plastic for sustainable products
cruz foam,replace nonbiodegradable foam,provide cushioning,offer thermal insulation,ensure vibration dampening,,,compostable shipping foam for cold chain goods
crylon,provide clarity,offer resistance,render colour,allow transparency,,,large format acrylic glass sheets
crylux,provide transparency,offer durability,resist uv radiation,enable easy processing,enhance visual communication,,corporate signage and display systems
crystal fabric,cover noun,refine verb,apply verb,,,,heat pressed textile embellishments
crystal inlay,enhance aesthetic,create inlay,combine with resin,,,,luxury interior paneling
crystal mesh metal trimmings,integrate crystals,apply heat,glue sew,fix in net,,,decorative textile accessories
crystal rocks,create design element,apply coating,activate hotmelt,embed chatons,glue cavities,,decorative crystal embellishments for fashion accessories
cullus molto,absorb sound,form 3d objects,meet acoustic needs,clean washable,,,hanging acoustic panels
cumbrian bone marble,create minerals,manufacture materials,produce rocks,,,,human made mineral collection for crafts
curious,create printing surfaces,provide textures,enable colour printing,,,,packaging for food products
curv,combine properties,capture properties,produce parts,enable thermoforming,,,lightweight automotive components
curvcor,create structural curves,offer excellent pliability,provide moisture barrier,,,,curved architectural panels
curved panels,shield windows,reduce solar heat gain,optimize day lighting,clad surfaces,divide spaces,,curved architectural mesh systems
custom shaped stainless steel,customize component,define finish,produce pattern,create design effect,fabricate panel,,customized decorative metal panels
3d printed customised composites,create products,optimise properties,integrate functions,,,,lightweight structural components for aerospace
customised wallpaper collection,provide wall covering,print designs,resist weather,,,,outdoor wall coverings
customize,create bespoke materials,integrate storytelling,combine functionality,provide perfect fit,,,customized wallcovering for interior design
cutting edge,recycle material,create textile,secure edges,generate colours,provide upholstery,,textile mat for seat cover
cyalith,produce materials,avoid firing,reduce carbon footprint,create decorative tiles,,,decorative ceramic tile alternatives
cyclin,reduce reverberation times,prevent noise entry,contribute energy efficiency,participate carbon sequestration,,,acoustic insulation panels for indoor environments
d carb white cement,reduce co2 emissions,maintain early strength,deliver rheological properties,ensure smooth finishes,,,self compacting concrete mix
d ko expanded metal,provide structure,enhance durability,allow customization,,,,custom metal panels for building finishing
d sign weave,weaving technique,custom made,strong panels,,,,stainless steel finishing panels in buildings
d2w,make biodegradable,address plastic waste,fall into pieces,be bioassimilated,,,biodegradable shopping bags
d3o mesh,absorb impact,provide flexibility,enhance breathability,,,,protective sports padding
dacryl,provide transparency,offer shock resistance,resist water,resist chemicals,,,transparent safety glazing panels
daemwool natural wool insulation,insulate rooms,protect against overheating,neutralise harmful gasses,provide acoustic insulation,resist fire,,roof and ceiling insulation
dalsouple,offer design flexibility,provide colour variety,enable customisation,support interlocking installation,,,interlocking floor tiles for indoor spaces
daylight panels,block view,let daylight pass,,,,,rear wall panels for retail spaces
déchirer,provide flooring,create wall covering,offer decorative patterns,,,,large format hexagonal wall tiles
decafé,create composite material,provide aroma,resist heat,enhance design,,,decorative lamp resembling a coffee cup
decalised glass,decorate object,insert pigments,enhance durability,facilitate cleaning,,,decorative glass panels for interiors
decallisation,apply coating,protect layer,decorate surface,resist scratch,resist uv,,decorative coatings for metal and ceramics
decking solutions,provide structural support,resist weather damage,offer aesthetic finish,,,,outdoor decking for boats
decnord luxpanels,preserve aesthetic,support sustainability,provide durability,,,,modern wall paneling
deco s,resist red wine,resist acid,provide good mechanical characteristics,provide good chemical characteristics,allow easy working,,high gloss polished surfaces for countertops
deco wired glass,reinforce glass,hold fragments,produce textures,,,,decorative partitions
decolegno hpl specials,create furniture,inspire interior design,translate decors,apply flooring,,,bespoke furniture and interior concepts
decoproyec spray cork,protect noun,finish noun,resist noun,combine noun,,,elastic surface protection for walls and roofs
decoral process,coat metal,transfer inks,print patterns,provide properties,,,decorative metal finishes
decorandum,provide structural support,bond with other materials,offer surface finishing,enable lightweight design,,,kitchen cabinetry and fixtures
decorated metal mesh,reflect light,solder decorations,stretch tension,,,,decorative room divider
decorex,adapted noun,deforming noun,stamping noun,decorative noun,corrosion noun,,body of mobile phones and kitchen appliances
decorflou,transmit light,diffuse light,resist marking,resist abrasion,,,partitions for defining separate environments
decorgem,coat surface,partition segment,process material,decorate interior,,,enamelled glass sheets for interior design
decoro,enhance decorative elements,chrome tan leather,aniline dye leather,,,,decorative elements for custom designs
deep 3d wallpaper,engage eye,fray boundary,create dimension,,,,3d decorative wall covering
defense,weaving nonserial,processing custom,finishing stainless,,,,custom stainless steel panels for building facades
dega art,create surface,resist wear,resist traffic,provide aesthetic,,,seamless flooring for commercial spaces
dekolux fossil,create light,design atmosphere,,,,,backlit decorative panels
dekolux,reflect light,produce luminous effects,allow back illumination,,,,decorative wall panels with backlighting
dekopix,embed print,provide scratch resistance,ensure moisture impermeability,,,,custom printed laminate surface
dekovario,combine noun,produce noun,,,,,surface structure variations for interior design
demidekk ultimate helmatt,accentuates wood structure,fast drying coating,waterborne stain,elastic coating,,,wood rich façade elements
demidekk ultimate täckfärg,protect noun,accentuate noun,durable noun,maintain noun,,,outdoor wood façade coating
dendrolight building block bb,replace construction materials,provide heat isolation,provide sound isolation,support structural wall,support floor panel,support ceiling panel,structural wall and floor panel
dendrolight core material,ensure strength,achieve stability,allow processing,,,,lightweight structural panels
dendrolight table tops,reinforce noun,increase bending strength,create form,mount mechanisms,damp vibration,,lightweight table tops with free spans
denimx material collection,combine materials,offer sustainability,provide aesthetics,,,,interior design elements
denimx,create non waste products,upgrade textile waste,combine recycled materials,meet aesthetic requirements,optimize material properties,,furniture and lighting products
denuo,repurpose waste,create lighting fixtures,produce warm light,support sustainability,,,lighting fixtures made from waste materials
derbipure,reflective coating,passive cooling,pollution prevention,water recycling,,,roofing membrane for buildings
derbisolar,generate electricity,provide waterproofing,ensure adhesion,integrate discreetly,,,watertight roof lining with integrated photovoltaic cells
dermofresh fr,manage moisture,enhance comfort,provide breathability,offer waterproofing,ensure non toxicity,,protective covering for beds
desardi classic non woven,preventing bacteria,providing antimicrobial protection,integrating in decoration,,,,hygienic wallcovering for hospitals
design aero,provide protection,reduce noise,conceal utilities,enable easy fitting,,,suspended ceiling system for buildings
design coconut tiles,provide resistance to decomposing,offer insect attack protection,create unique design appearance,,,,decorative wall tiles with metallic finish
design concrete,provide colour,resist abrasion,resist staining,apply seamlessly,tailor finish,,waterproof flooring for kitchens and bathrooms
design induction hobs,minimize environmental impact,provide clean energy cooking,inspire kitchen design,,,,induction cooking hob with extraction system
design panel,provide sun protection,provide wind protection,act as separation wall,,,,sun and wind protection fence
design sheets,enable precise shaping,increase stiffness,allow custom designs,,,,lightweight structural sheets for building
desserto cactus leather,provide durability,offer flexibility,ensure sustainability,reduce environmental impact,,,vegan leather handbags
dexter,provide privacy,block light,enhance decor,,,,curtain for windows
dg lux plus,reinforce slab,reduce weight,enable handling,provide strength,,,kitchen countertops and tabletops
diamond board,provide fire resistance,offer sound insulation,enhance moisture resistance,ensure robustness,allow easy cutting,,moisture resistant drywall for wet areas
diamond polished concrete,mechanical polishing,high gloss finishing,durable surface,,,,industrial and public building flooring
dibond,provide rigidity,offer strength,enable easy processing,ensure durability,,,signage and exhibition displays
dichrolam,diffract light,reflect color,simulate water waves,,,,color changing table tiles
diggels,recycle nonrenewable,process new products,return demolished materials,,,,kitchen worktop
digital dawn,emulate photosynthesis,monitor light levels,trigger growth,illuminate blind,,,reactive window blind
digitalprint serie metalli,reflective surface,flame retardant properties,moisture resistant coating,,,,interior decorative wall panels
dinamica classica,breathable fabric,washable fabric,wrinkle resistant fabric,,,,upholstery for furniture
dinxperlo,filter nonmetallic particles,screen doors and windows,weave custom panels,weld fabricated items,,,woven mesh for water treatment
dipline,hold lamps,match requirements,go back,tested connectors,,,interior lighting panels
direx,print brilliant,print sharp,coat laminated,,,,laminated printed panel for interior use
discarded firehose,withstand tensile forces,resist water,resist uv radiation,resist chemicals,,,woven wall coverings
discarded tampon fabric,recycling yarn,spinning fabric,weaving textile,,,,curtains and linings
dispa,provide flatness,offer rigidity,enable printing,support die cutting,facilitate processing,,indoor promotion display boards
dissolvo,dissolve water,print on,coat with,laminate with,emboss with,,water soluble pressure sensitive labels
ditra 25,act as substrate,provide load distribution,serve as water barrier,allow easy removal,,,underlayment for problematic flooring substrates
dofine stucco,reduce noise,provide acoustic effect,create abstract structures,apply colourful finishes,,,acoustic wall panels with integrated speakers
doluflex,provide stiffness,reduce weight,allow bending,enable shaping,,,lightweight sandwich panel for structural components
domino,provide flooring,resist humidity,offer durability,,,,heat treated wood flooring for commercial spaces
domsteen brick,prevent demolition waste,reuse building materials,provide aesthetic properties,ensure long life,,,sustainable building construction
dorsum,customize embossments,apply lacquers,create patterns,,,,custom embossed furniture surfaces
doschawol,eliminate gases,act as barrier,require energy,,,,flame resistant insulation material
dot concrete,transmit light,provide privacy,create unique patterns,,,,translucent separation wall
dot show,linkage bowls,integrate hooks,create lamp,design room divider,,,modular lighting system with bowls
double face,provide transparency,enable flexibility,allow 3d deformation,,,,transparent decorative curtains
double vision composition,transmit light,resist uv radiation,withstand mechanical loads,remain waterproof,provide scratch resistance,,high end kitchen and bathroom furniture
drapilux air,neutralise pollutants,purify air,reduce allergens,break down odours,produce catalytic reaction,,flame retardant wall coverings
drapilux bioaktiv,reduce pathogen growth,provide antimicrobial protection,enhance room hygiene,prevent allergies,reduce odours,,hospital decorative textiles
dream bonding technology,decorate garments,cover seams,customize trimmings,create labels,enhance performance,,decorative adhesive tape for garments
dreamfield,protect nutrients,release fragrance,contain substances,prevent oxidation,extend lifespan,,fragrance releasing textile
dreamglass,change state,reduce luminosity,block uv rays,allow light,,,smart window for privacy control
dreamshape,shape body,compress zone,cut easily,fray resist,,,compression sportswear
dredged sediment concrete,reduce co2 emissions,create circular concrete,utilize waste stream,,,,water passing tiles
dreendesign collection,enhance character,create patterns,stimulate observation,add dimension,,,architectural paving slabs and floor plates
drenth metal weaving,filter nonmetallic particles,transport industrial products,weave fabrics,,,,industrial filtration and transport mesh
drenth plastic weaving,weave cloth,filter material,transport product,,,,industrial filtration fabric
dripping,create texture,provide visual effect,,,,,decorative wall tiles with relief patterns
drop papers,marking indoor,printing inkjet,,,,,fire resistant indoor signage
drop stich fabrics,produce fabrics,keep layers apart,protect clothing,resist fire,resist abrasion,,inflatable docks and boats
droplet,cast designs,hand carved customize,install art,,,,custom wall surfaces with artistic designs
droptec,absorb shock,provide drainage,,,,,lightweight shock absorbent mats for landscaping
drt special items,create seamless floors,provide anti slip,enhance aesthetic appearance,offer high chemical resistance,enable compatibility with floor heating,,design flooring for public buildings
bio thermoplastic elastomer,provide flexibility,offer tensile strength,enable injection moulding,allow extrusion,ensure recyclability,,sustainable packaging solutions
drystack brick system,enable assembly,facilitate reuse,reduce waste,allow disassembly,,,modular brick construction system
dual stencil process,improve grip,provide lightweight,offer flexibility,enhance traction,prevent abrasion,,athletic shoe sole
ductal,flex ductility,withstand bending,resist abrasion,provide durability,self heal sealing,,thin architectural facades
duflex lightweight panels,increase strength,reduce preparation,ensure stability,,,,lightweight structural panels for aerospace
duotec,fastening system,attaching panels,repositioning material,distributing forces,,,fastening façade panels to buildings
duotone coloured glass,mixing colours,coating finishes,creating combinations,allowing designers,,,decorative glass panels for interior design
duplicor biobased composite,save weight,build circularly,recycle material,provide fire safety,insulate effectively,,lightweight sandwich panels for building construction
durabella palladiana,recycle flooring,combine design,create bespoke,,,,regenerative terrazzo flooring
durabella seamless terrazzo,provide floor,enhance aesthetics,resist cracking,allow seamless installation,,,entranceway flooring solution
durabella x aectual,create floor,offer customizable designs,integrate storytelling,add bespoke branding,shape special places,,3d printed seamless terrazzo flooring system
durabook,withstand water,resist stains,enhance printing,create smoothness,provide strength,,tear resistant printed documents
duralmond,provide aesthetic characteristics,offer water repellent properties,resist insects,deliver thermal insulation,provide acoustic insulation,ensure fire resistance,biodegradable furniture components
duramique mineral flooring,absorb co2,provide warmth,resist wear,create seamlessness,reduce shrinkage,eliminate cracking,seamless flooring for industrial spaces
durapor duraseal,provide decorative surface,resist solvents,resist scratches,enable digital printing,,,decorative printed panels for interior and exterior use
durapulp,provide strength,impart dimensional stability,enhance folding resistance,reduce water absorption,,,thermo pressed structural components
durapur,provide non slip surface,offer high mechanical strength,ensure wear resistance,deliver thermal insulation,resist chemical damage,,self leveling flooring for hospitals
duraskin,provide protection,offer sealing,enable flexibility,resist weather,,,flexible tensile fabric structures
durasteel,provide fire resistance,resist moisture,withstand impact,enable flexible installation,prevent flame spread,,fire resistant building facade panels
durastone flexible polished floors,create floor,apply seamlessly,resist wear,provide durability,,,seamless floor finish for public buildings
durat palace,provide tactile surface,create color combinations,enable easy fabrication,,,,kitchen worktops and table tops
durat,reduce waste,create illusion,provide sustainability,ensure food safety,offer easy maintenance,,kitchen worktops and sanitary counters
duro loam plaster,provide thinner layer,apply quickly,combine with heating systems,,,,interior wall finish with heating integration
durodeen,replace wood,combine wood,treat with tools,sand down surface,,,furniture components
durogrit,provide naturallook,offer uvresistance,increase wearresistance,make water repellent,,,outdoor wood oil for terraces and garden furniture
duropal hpl,provide durability,resist abrasion,withstand chemicals,offer impact resistance,,,kitchen worktop for wet areas
duropal,provide surface material,create tactile effect,offer optical depth,,,,shelves and furniture surfaces
dutch merino,process noun,produce noun,reuse noun,knit noun,,,sustainable garment production
dutch mohair,process wool,produce garment,reuse wool,knit fabric,,,sustainable knitted garment
dutch patine,provide durability,offer aesthetic appeal,ensure breathability,,,,high end upholstery for furniture
dutch wool,provide warmth,offer acoustic insulation,enable sustainable production,,,,locally produced garment
dyed polyester fancy hairy,weaving fabric,knitting fabric,dyeing fabric,finishing fabric,,,textile for fashion apparel
dyed polyester sheer lace,provide translucence,create texture,offer lightweight,ensure durability,,,decorative window treatments
dynamicwall,transfer image,resist uv,resist weather,,,,advertising display panels
e glas,emit heat,prevent condensation,melt snow,provide comfort,,,heated glass partition walls
eastar copolyester 6763,provide clarity,offer toughness,enable easy processing,resist chemicals,,,bottles for soaps and detergents
easy being green,produce leather,tanning vegetable,utilize safe materials,return water,,,natural leather upholstery for furniture
ebablock,resist wear,resist shock,reduce waste,shorten milling times,cast custom shapes,,jointless blocks for industrial use
ebb,transport water,guide water,,,,,water management tiles for gardens
ecc,resist cracking,reduce weight,enhance flexibility,allow sliding,,,lightweight structural elements for buildings
ecdel,resist chemicals,provide strength,maintain clarity,allow extrusion,enable reusability,,high strength pharmaceutical packaging
echopanel,reduce waste,provide acoustic insulation,serve finished design surface,,,,floor to ceiling wall installations
eci ceramic coating,reflect solar light,prevent heat conduction,stop deterioration,resist weather,save energy,,solar reflective roof coating
eco brick,reduce nonliving space,increase insulation thickness,serve finishing layer,,,,exterior wall insulation system
eco c1,absorb sound,insulate thermally,resist weather,resist ozone,,,soundproofing panels for walls and ceilings
eco cem,provide strength,offer durability,support aesthetics,,,,eco friendly flooring tiles
eco green,provide slip resistance,offer weather resistance,create soft walking effect,,,,playground safety tiles
eco gres,absorb light,install easily,maintain sustainably,,,,indoor and outdoor flooring and wall coverings
eco hpl,reduce co2 emissions,protect climate,provide recyclability,,,,laminated board for interior surfaces
eco range,create imagery,respond directly,illustrate bespoke patterns,reflect surrounding environment,form tiles,,eco friendly decorative tiles
eco series wall panels,resistant water,resistant mold,resistant insects,self sustaining renewable,non toxic finish,,interior wall and ceiling finishes
feutralin,absorb sound,decrease impact,,,,,sound absorbing flooring system
eco terr,maintain air quality,support mold free environment,provide durable finish,allow easy cleaning,,,eco friendly terrazzo flooring
eco x extreme concrete,reinforce strength,mix color match,create custom color,,,,decorative concrete surfaces
eco,substitute natural stone,provide durability,offer environmental friendliness,,,,kitchen countertops and bathroom vanities
ecoben,bonded panel,laminated surface,cuttable material,aesthetic appeal,,,partition walls and table tops
ecoboard,reduce toxins,emission free production,store co2,,,,furniture panels for indoor and outdoor use
ecobrass,allow forming,improve corrosion resistance,provide strength,enable machining,,,miniaturized structural components
ecohab,provide insulation,control strength,achieve soundproofing,withstand high temperatures,,,lightweight sandwich panels for drywall construction
ecolan recycled solid surface,bonding mineral filler,resisting chemicals,maintaining ease,providing non porosity,ensuring food safety,,recycled solid surface countertop
ecoline brick slips,reduce environmental impact,enable material savings,provide dimension stability,ensure consistent shape,integrate prefabricated systems,,façade elements for building exteriors
ecologia fluido,reduce co2 emissions,provide high gloss finish,offer excellent ink adhesion,enable die cutting,allow thermoforming,,translucent packaging materials
ecologia marmo,reduce carbon footprint,hold ink,transform into sheet form,provide energy efficiency,,,recycled signage and displays
ecologia transeco,reduce emissions,offer ink adhesion,provide thermoforming properties,enable die cutting,,,recycled packaging materials
ecolution recycled nylon fabric,save water,provide durability,resist uv,offer breathability,,,water resistant outdoor jackets
econcore 100 bio based,provide non toxic material,reduce greenhouse gas emissions,enable biodegradable disposal,,,,honeycomb sandwich panel for building
econcore honeycomb,reduce panel weight,laminate skins,provide compression strength,,,,lightweight sandwich panels for automotive
econcrete,reduce co2 emissions,provide fire retardant properties,enhance uv resistance,offer flexible application,ensure high durability,,industrial flooring and wall surfaces
econic,look like natural linen,feel pleasant to touch,meet european fire standard,,,,upholstery fabric for indoor and outdoor use
econitwood,transform noun,preserve noun,reduce noun,eliminate noun,create noun,,custom 3d printed interior architectural components
ecopan,gluing structure,cutting shape,folding assembly,coating barrier,,,lightweight structural panels for interiors
ecopaxx,offer performance,provide chemical resistance,reduce moisture absorption,achieve high melting point,ensure high crystallisation rate,,high performance engineering components
ecopixel,withstand temperature,customise appearance,recycle material,,,,outdoor furniture components
ecoplex,process noun,saw milled,painted noun,light weight,,,furniture panels
wavcor esp,moulding panels,gluing sheets,enhancing performance,,,,three dimensional structural panel
ecosurfaces,provide cushioning,resist slipping,dissipate electrostatic,resist stains,,,rubber flooring for indoor and outdoor use
ecowall with recycled pet polyester,absorb sound,form surface,attach wall,attach ceiling,,,3d acoustic wall panels
ecowall with wool,sound absorbent material,colourful panel,lightweight structure,,,,3d acoustic wall panel
ecoworx tile,sustainable backing,recyclable backing,efficient installation,lightweight shipping,,,sustainable carpet tile backing
edgemax,provide density,offer stability,enable installation,allow customization,support reusability,,floating cork floor tiles
eelgrass acoustic mats,enhance acoustics,provide comfort,stabilize humidity,create aesthetic,reduce environmental impact,,interior wall and ceiling cladding
eeuwenhout,treat nonbiodegradable,cover wall,clad exterior,,,,weathered barnwood wall sidings
effect varnish,create effects,enhance appearance,,,,,decorative surface finish for furniture
eg wall panels,create wall,enable creativity,combine texture,combine colour,,,customizable interior wall coverings
ege circleback,minimise waste,recycle components,transform resources,create new products,,,new carpet from recycled yarn
egg bioplastic,create cups,reduce waste,provide protection,,,,biodegradable egg cups
eggshell based ceramics and bioplastics,reduce sintering temperature,improve material performance,enhance biodegradability,,,,eco friendly tiles and insulating bricks
eggshell ceramic,create material,design art objects,improve soil,,,,decorative planters and art objects
eggshell inlay,inlay lacquer,create molds,fashion forms,apply layers,polish finish,,decorative vases and bowls
eggware,create material,absorb water,self extinguish,,,,biodegradable tableware and utensils
ekoa,replace wood,replace plastics,replace laminates,deliver clean air,provide high strength,,interior surfaces for furniture and flooring
ekogrip colourgrip,provide grip,offer softness,enable recyclability,,,,anti slip flooring for fitness areas
ekolithos board,provide density,offer fire resistance,enable water resistance,allow mass coloring,,,fire resistant interior wall panels
ekotex clean air schone lucht,neutralizes harmful chemicals,removes formaldehyde,improves indoor air quality,recycles materials,provides wall finish,,air purifying wallcovering for classrooms
