node,label,category
achieve adhesion,achieve adhesion,function
react-uv light,react-uv light,function
blend with styles,blend with styles,function
offer-lightweight structure,offer-lightweight structure,function
customize design,customize design,function
ensure-weather durability,ensure-weather durability,function
cover-noun,cover-noun,function
form-shelf strips,form-shelf strips,function
design-art-objects,design-art-objects,function
create-strong constructions,create-strong constructions,function
fuse-crystals,fuse-crystals,function
offer translucency,offer translucency,function
deliver rheological properties,deliver rheological properties,function
process under many circumstances,process under many circumstances,function
resist-decomposition,resist-decomposition,function
seal-abnormal breaks,seal-abnormal breaks,function
tint-colour,tint-colour,function
incorporate-naturals,incorporate-naturals,function
contribute-credits,contribute-credits,function
ensure-food-safety,ensure-food-safety,function
attaching-panels,attaching-panels,function
maintain light weight,maintain light weight,function
reflect-infrared-radiation,reflect-infrared-radiation,function
provide-bath rug,provide-bath rug,function
create-surface,create-surface,function
wrap food,wrap food,function
eliminate-painting,eliminate-painting,function
integrate-crystals,integrate-crystals,function
provide-tactile experience,provide-tactile experience,function
enhance-textures,enhance-textures,function
enhance warmth,enhance warmth,function
recycle-nonrenewable,recycle-nonrenewable,function
support monolithic quality,support monolithic quality,function
allow machining,allow machining,function
block-light,block-light,function
add after glow effects,add after glow effects,function
washable-fabric,washable-fabric,function
provide ventilation,provide ventilation,function
reduce-toxins,reduce-toxins,function
create-colour harmonies,create-colour harmonies,function
support-noun,support-noun,function
ensure abrasion-resistance,ensure abrasion-resistance,function
provide transparency,provide transparency,function
shape-object,shape-object,function
create geometric-design,create geometric-design,function
transfer-pvd layer,transfer-pvd layer,function
recycling-tiles,recycling-tiles,function
deliver thermal performance,deliver thermal performance,function
offer texture,offer texture,function
decompose-biodegradably,decompose-biodegradably,function
accommodate-building movements,accommodate-building movements,function
enhance-solderability,enhance-solderability,function
reduce-strain,reduce-strain,function
recycle-panel,recycle-panel,function
optimize-handling,optimize-handling,function
insulate-conductors,insulate-conductors,function
apply-finish,apply-finish,function
store-co2,store-co2,function
absorb moisture,absorb moisture,function
maintain air quality,maintain air quality,function
contributing-noun,contributing-noun,function
retain-shape,retain-shape,function
cut-easily,cut-easily,function
provide-flame resistance,provide-flame resistance,function
provide lightweight panels,provide lightweight panels,function
control-brightness,control-brightness,function
enable light diffusion,enable light diffusion,function
act as a leather alternative,act as a leather alternative,function
increase-resolution,increase-resolution,function
hand crafted-surface,hand crafted-surface,function
decrease reverberation,decrease reverberation,function
produce-panels,produce-panels,function
tested-connectors,tested-connectors,function
provide thermal protection,provide thermal protection,function
allow-custom sizing,allow-custom sizing,function
reduce energy consumption,reduce energy consumption,function
processed limestone,processed limestone,function
provide rustic effect,provide rustic effect,function
provide-water resistance,provide-water resistance,function
resist wear,resist wear,function
restore-surface,restore-surface,function
offer cost-saving benefits,offer cost-saving benefits,function
create-structural curves,create-structural curves,function
integrate heating,integrate heating,function
provide-decoration,provide-decoration,function
generate-opportunities,generate-opportunities,function
create-jewellery,create-jewellery,function
reduce energy demand,reduce energy demand,function
cut-sheet,cut-sheet,function
celebrate-qualities,celebrate-qualities,function
offer-noise reduction,offer-noise reduction,function
combine-with heating systems,combine-with heating systems,function
manufacture-complex shapes,manufacture-complex shapes,function
offer designer freedom,offer designer freedom,function
provide rigidity,provide rigidity,function
enable-washing,enable-washing,function
create biodegradable sheets,create biodegradable sheets,function
produce-molds,produce-molds,function
adjust-transparency,adjust-transparency,function
offers weather resistance,offers weather resistance,function
allow smoke escape,allow smoke escape,function
support-loading,support-loading,function
create-grid,create-grid,function
reduce weight,reduce weight,function
enable shaping with molds,enable shaping with molds,function
provide finish,provide finish,function
create ornamental design,create ornamental design,function
simulate aesthetic impact,simulate aesthetic impact,function
enable-handling,enable-handling,function
bind-noun,bind-noun,function
offer uv resistance,offer uv resistance,function
reshape material,reshape material,function
undergo colour changes,undergo colour changes,function
adapt-structure,adapt-structure,function
offer sound insulation,offer sound insulation,function
easy to mount,easy to mount,function
enable-thermoforming,enable-thermoforming,function
install-noun,install-noun,function
produce-noun,produce-noun,function
replicate-process,replicate-process,function
create-usable products,create-usable products,function
create coziness,create coziness,function
bond strips,bond strips,function
enhance tactile structure,enhance tactile structure,function
apply-to-products,apply-to-products,function
engineer-composites,engineer-composites,function
glue-material,glue-material,function
thermoregulation,thermoregulation,function
protect against decay,protect against decay,function
renewable-material,renewable-material,function
resist-impact,resist-impact,function
self-heal-verb,self-heal-verb,function
provide texture-wall panel,provide texture-wall panel,function
allow translucence,allow translucence,function
provide moisture barrier,provide moisture barrier,function
neutralize viruses,neutralize viruses,function
improve-acoustic properties,improve-acoustic properties,function
create-objects,create-objects,function
consolidate-resin,consolidate-resin,function
ensure-flame-retardance,ensure-flame-retardance,function
provide anti-slip surface,provide anti-slip surface,function
create-board,create-board,function
resist-noise,resist-noise,function
create-interiors,create-interiors,function
minimize-environmental impact,minimize-environmental impact,function
enable flexibility,enable flexibility,function
hold gas,hold gas,function
ensure-biodegradability,ensure-biodegradability,function
support humidification,support humidification,function
provide-high gloss,provide-high gloss,function
provide protective capacity,provide protective capacity,function
transforming-industrial waste,transforming-industrial waste,function
provide flame-retardant properties,provide flame-retardant properties,function
visualize-sustainable goals,visualize-sustainable goals,function
produce-light,produce-light,function
manufacture-furniture,manufacture-furniture,function
provide shade,provide shade,function
filter air,filter air,function
increase-luminosity,increase-luminosity,function
create-aesthetic quality,create-aesthetic quality,function
avoid-soiling,avoid-soiling,function
prevent moisture,prevent moisture,function
heat-press-adhesive,heat-press-adhesive,function
provides fluidity,provides fluidity,function
fast-drying-coating,fast-drying-coating,function
offer cushioning,offer cushioning,function
trim-plant,trim-plant,function
eliminate gases,eliminate gases,function
manufacture-materials,manufacture-materials,function
non-capillary-water-attraction,non-capillary-water-attraction,function
prevent flame spread,prevent flame spread,function
offer impact resistance,offer impact resistance,function
providing-texture,providing-texture,function
provide-sound insulation,provide-sound insulation,function
enhance-stiffness,enhance-stiffness,function
produce-bright light,produce-bright light,function
enable eco-friendly tanning,enable eco-friendly tanning,function
allow for flexibility,allow for flexibility,function
sensitive skin friendly,sensitive skin friendly,function
release-moisture,release-moisture,function
reduce-phenol,reduce-phenol,function
reduce-need for virgin aggregates,reduce-need for virgin aggregates,function
offer-aesthetic finishes,offer-aesthetic finishes,function
provide-flame-retardant-properties,provide-flame-retardant-properties,function
offer colour customisation,offer colour customisation,function
distribute load,distribute load,function
mimic natural wood,mimic natural wood,function
uniting-designs,uniting-designs,function
offer resistance,offer resistance,function
support natural appearance,support natural appearance,function
impart fire-resistant property,impart fire-resistant property,function
maintain lightweight,maintain lightweight,function
inject-bulking agents,inject-bulking agents,function
replace-oil-based raw materials,replace-oil-based raw materials,function
print designs,print designs,function
improve electronics,improve electronics,function
tailor-installation,tailor-installation,function
water proof-noun,water proof-noun,function
transform-nets,transform-nets,function
modify-impact,modify-impact,function
provide-water-repellency,provide-water-repellency,function
be dyed,be dyed,function
provide mechanical strength,provide mechanical strength,function
eliminate-production lines,eliminate-production lines,function
provide heat,provide heat,function
provide shock absorption,provide shock absorption,function
improve quality,improve quality,function
reflecting-light,reflecting-light,function
absorb-noise,absorb-noise,function
weathered-appearance,weathered-appearance,function
create-non-toxic sheets,create-non-toxic sheets,function
combine-strength,combine-strength,function
shape-embossing,shape-embossing,function
flexible-wall covering,flexible-wall covering,function
block-solar-energy,block-solar-energy,function
offer-breathability,offer-breathability,function
resist-atmospheric agents,resist-atmospheric agents,function
provide safety features,provide safety features,function
integrate-functions,integrate-functions,function
connect-naturally,connect-naturally,function
form-injection moulding,form-injection moulding,function
create 3d effect,create 3d effect,function
create-embossed effects,create-embossed effects,function
provide-uv resistance,provide-uv resistance,function
prevent resin up-take,prevent resin up-take,function
3d print-textile,3d print-textile,function
enhance-structure,enhance-structure,function
facilitate easy cleaning,facilitate easy cleaning,function
adjusting shading,adjusting shading,function
substitute-natural stone,substitute-natural stone,function
mold-precise ways,mold-precise ways,function
resist-uv,resist-uv,function
kill-bacteria,kill-bacteria,function
produce-custom-designs,produce-custom-designs,function
cast-tile,cast-tile,function
offer toughness,offer toughness,function
weaving-structure,weaving-structure,function
provide-nouns,provide-nouns,function
compost-combined with natural fibers,compost-combined with natural fibers,function
enable-durable roofing,enable-durable roofing,function
3d-printing-pattern,3d-printing-pattern,function
enhance structural integrity,enhance structural integrity,function
dissolve-ink,dissolve-ink,function
reflective-coating,reflective-coating,function
prevent thermal bridges,prevent thermal bridges,function
create surfaces,create surfaces,function
enable eradicability,enable eradicability,function
provide-lightweight-structure,provide-lightweight-structure,function
provide body support,provide body support,function
provide-core,provide-core,function
create-atmosphere,create-atmosphere,function
provide-contrast,provide-contrast,function
recycle-waste,recycle-waste,function
dampen-vibration,dampen-vibration,function
reduce-shrinkage,reduce-shrinkage,function
provide compression strength,provide compression strength,function
reduce airborne dust,reduce airborne dust,function
reduce-waste rubber,reduce-waste rubber,function
maintain dimensional stability,maintain dimensional stability,function
enable-sustainability,enable-sustainability,function
resist-dirt,resist-dirt,function
create light,create light,function
reduce-smoke density,reduce-smoke density,function
enhance-durability,enhance-durability,function
sand-finish possibilities,sand-finish possibilities,function
conserve interior space,conserve interior space,function
provide-metal-like finish,provide-metal-like finish,function
offer-aesthetic-value,offer-aesthetic-value,function
stop-bacteria proliferation,stop-bacteria proliferation,function
maintain strength,maintain strength,function
neutralise pollutants,neutralise pollutants,function
enable-easy-processing,enable-easy-processing,function
protect-nutrients,protect-nutrients,function
improving-indoor climate,improving-indoor climate,function
mimic-feel,mimic-feel,function
support indoor climate,support indoor climate,function
develops-panel,develops-panel,function
provide-conductivity,provide-conductivity,function
surface-noun,surface-noun,function
wrap-products,wrap-products,function
resist alkalis,resist alkalis,function
reduce-reliance,reduce-reliance,function
maintain-strength,maintain-strength,function
achieve-port look,achieve-port look,function
preserve-aesthetic,preserve-aesthetic,function
enhance appearance,enhance appearance,function
facilitate-noun,facilitate-noun,function
offer-fire resistance,offer-fire resistance,function
produce catalytic reaction,produce catalytic reaction,function
chrome-tan-leather,chrome-tan-leather,function
create decorative surface,create decorative surface,function
allow transfer printing,allow transfer printing,function
reduce-surface absorbency,reduce-surface absorbency,function
acts-plasticizer,acts-plasticizer,function
make-pigment,make-pigment,function
shape-garment,shape-garment,function
provide-vibration absorption,provide-vibration absorption,function
allow incorporation,allow incorporation,function
lay-precision,lay-precision,function
carved-design,carved-design,function
provide-fire resistance,provide-fire resistance,function
conduct electricity,conduct electricity,function
enlarge-shape,enlarge-shape,function
offer custom patterns,offer custom patterns,function
allow edge-to-edge seam work,allow edge-to-edge seam work,function
release moisture,release moisture,function
blend colours,blend colours,function
wash fabric,wash fabric,function
maintain-performance,maintain-performance,function
emits no vocs,emits no vocs,function
charge-noun,charge-noun,function
biodegrade without microplastics,biodegrade without microplastics,function
offer rf shielding,offer rf shielding,function
stretch-tension,stretch-tension,function
provide-waterproofing,provide-waterproofing,function
treat-preservative,treat-preservative,function
allow customization,allow customization,function
easy-to-work-with,easy-to-work-with,function
allow-seamless-installation,allow-seamless-installation,function
enhance glossiness,enhance glossiness,function
retain-strength,retain-strength,function
biodegrade-noun,biodegrade-noun,function
substitute-noun,substitute-noun,function
demonstrate acoustic performance,demonstrate acoustic performance,function
promote-sustainable resource use,promote-sustainable resource use,function
laminated-surface,laminated-surface,function
manage-noise,manage-noise,function
recycling-loop,recycling-loop,function
combine-nouns,combine-nouns,function
transform light-noun,transform light-noun,function
change-thickness,change-thickness,function
provide stability,provide stability,function
exceed hospitality requirements,exceed hospitality requirements,function
apply-design,apply-design,function
serve as a textile,serve as a textile,function
endure-high temperature,endure-high temperature,function
enhance-interior design,enhance-interior design,function
combine-module,combine-module,function
apply-gold leaf,apply-gold leaf,function
transfer-image,transfer-image,function
increase gloss,increase gloss,function
improve-working characteristics,improve-working characteristics,function
offer-temperature-resistance,offer-temperature-resistance,function
require energy,require energy,function
degrade-verb,degrade-verb,function
replicate-natural materials,replicate-natural materials,function
interact-natural light,interact-natural light,function
enhance water vapour transmission,enhance water vapour transmission,function
improve-chemical resistance,improve-chemical resistance,function
tailor-finish,tailor-finish,function
enhance-designs,enhance-designs,function
form-objects,form-objects,function
knitted-fabric,knitted-fabric,function
manufacture-panel blinds,manufacture-panel blinds,function
control-thermal,control-thermal,function
enable injection moulding,enable injection moulding,function
provide-nesting,provide-nesting,function
polished-metal-disc-integration,polished-metal-disc-integration,function
resist-gas permeability,resist-gas permeability,function
provide weather resistance,provide weather resistance,function
reuse-waste,reuse-waste,function
resist-flame,resist-flame,function
mount-verb,mount-verb,function
allow easy installation,allow easy installation,function
soft texture,soft texture,function
cancel-noise,cancel-noise,function
engineer-durability,engineer-durability,function
cast-sheets,cast-sheets,function
mould-granulate,mould-granulate,function
control-shrinkage cracks,control-shrinkage cracks,function
knitted-material,knitted-material,function
support-sustainability,support-sustainability,function
adheres-resin,adheres-resin,function
distilling-materials,distilling-materials,function
provide-stability,provide-stability,function
imitate appearance,imitate appearance,function
facilitate vacuum forming,facilitate vacuum forming,function
ensure durability,ensure durability,function
withstand-high temperatures,withstand-high temperatures,function
improve-environmental sustainability,improve-environmental sustainability,function
conduct-heat poorly,conduct-heat poorly,function
offer termite resistance,offer termite resistance,function
create-effects,create-effects,function
create-biogradable textile,create-biogradable textile,function
allow-installation,allow-installation,function
cutting-size,cutting-size,function
offer anti-slip,offer anti-slip,function
encapsulate chemicals,encapsulate chemicals,function
add-colour,add-colour,function
stick-wood,stick-wood,function
stop-drafts,stop-drafts,function
create suede effect,create suede effect,function
stay-cool,stay-cool,function
enable rf shielding,enable rf shielding,function
reduce allergens,reduce allergens,function
suit-interior decoration,suit-interior decoration,function
maintain-transparent look,maintain-transparent look,function
insert-fabric,insert-fabric,function
cut easily,cut easily,function
create-wallpaper,create-wallpaper,function
apply-diy material,apply-diy material,function
emphasizing recyclability,emphasizing recyclability,function
suits-flexo printing,suits-flexo printing,function
bond surfaces,bond surfaces,function
create three-dimensional structures,create three-dimensional structures,function
developing-sustainable materials,developing-sustainable materials,function
resist uv radiation,resist uv radiation,function
assure-reproduction,assure-reproduction,function
provide flexibility,provide flexibility,function
serve as cladding,serve as cladding,function
integrate-light,integrate-light,function
provide-noun,provide-noun,function
store co₂,store co₂,function
develop-product,develop-product,function
enable temporary fixation,enable temporary fixation,function
offering easy cleaning surface,offering easy cleaning surface,function
cast-resin,cast-resin,function
bond-structure,bond-structure,function
promote-circularity,promote-circularity,function
ensure colour stability,ensure colour stability,function
enable quick drying,enable quick drying,function
fabrication-eco-superior products,fabrication-eco-superior products,function
ensure-compatibility,ensure-compatibility,function
stay-neat,stay-neat,function
provide-biocompatibility,provide-biocompatibility,function
offer-biodegradability,offer-biodegradability,function
cast-tiles,cast-tiles,function
mould into resin,mould into resin,function
create smoothness,create smoothness,function
regenerated-fibre,regenerated-fibre,function
crafting-glaze,crafting-glaze,function
combine-bio-resins,combine-bio-resins,function
provide-floor,provide-floor,function
increase mechanical properties,increase mechanical properties,function
achieve-textured-finishes,achieve-textured-finishes,function
enable-dyeing,enable-dyeing,function
bond with protein glue,bond with protein glue,function
pave-pathways,pave-pathways,function
impregnate-resin,impregnate-resin,function
serve as raw material for insulation,serve as raw material for insulation,function
gain-noun,gain-noun,function
enhance visual,enhance visual,function
increase user-friendliness,increase user-friendliness,function
customize-noun,customize-noun,function
offer stiffness,offer stiffness,function
washable-machine,washable-machine,function
ensure-waterproofing,ensure-waterproofing,function
form strong panels,form strong panels,function
calibrated thickness,calibrated thickness,function
force-painting,force-painting,function
adjust illumination,adjust illumination,function
serve-packaging,serve-packaging,function
cast-noun,cast-noun,function
provide-texture,provide-texture,function
replace-wood,replace-wood,function
customize-embossments,customize-embossments,function
achieve soundproofing,achieve soundproofing,function
maintain-reflecting function,maintain-reflecting function,function
enable-shininess,enable-shininess,function
provide sensory experiences,provide sensory experiences,function
offer smooth texture,offer smooth texture,function
offer-acoustic insulation,offer-acoustic insulation,function
providing-light,providing-light,function
reduce-dependency,reduce-dependency,function
enhance-visual appeal,enhance-visual appeal,function
biodegrade at end of life,biodegrade at end of life,function
print-circuits,print-circuits,function
enhance-safety,enhance-safety,function
show-uniformity,show-uniformity,function
evaporate-verb,evaporate-verb,function
crimping-connection,crimping-connection,function
act-as-room dividers,act-as-room dividers,function
create weather-tight roofs,create weather-tight roofs,function
serve as structural panel,serve as structural panel,function
recover shape,recover shape,function
filter-particles,filter-particles,function
replace-pigment,replace-pigment,function
repel-water,repel-water,function
ensure robustness,ensure robustness,function
custom-cut-noun,custom-cut-noun,function
dampen-temperature-swings,dampen-temperature-swings,function
offer flame resistance,offer flame resistance,function
resist thermal shock,resist thermal shock,function
finish-surface,finish-surface,function
reinforce-backing,reinforce-backing,function
ensures self-compaction,ensures self-compaction,function
resist-thermal-bridge,resist-thermal-bridge,function
extract-juices,extract-juices,function
control contour recognition,control contour recognition,function
offer-decorative texture,offer-decorative texture,function
dissipate moisture,dissipate moisture,function
reduce sound pollution,reduce sound pollution,function
provides-low counter-pressure,provides-low counter-pressure,function
offer protection,offer protection,function
mould-pot,mould-pot,function
enhance environmental sustainability,enhance environmental sustainability,function
replace-synthetics,replace-synthetics,function
enable cold working,enable cold working,function
select-colors,select-colors,function
reduce co₂ emissions,reduce co₂ emissions,function
weld-join,weld-join,function
deliver-acoustic properties,deliver-acoustic properties,function
offer lightness,offer lightness,function
allow-breathing,allow-breathing,function
repurposing waste,repurposing waste,function
reflect-sun heat,reflect-sun heat,function
enhance durability,enhance durability,function
reduce co2 footprint,reduce co2 footprint,function
offer design flexibility,offer design flexibility,function
deposit-layer,deposit-layer,function
disappears-warm,disappears-warm,function
absorb sound,absorb sound,function
recycle-verb,recycle-verb,function
create complex shapes,create complex shapes,function
withstand-traffic,withstand-traffic,function
achieve bespoke finish,achieve bespoke finish,function
insulate-sound,insulate-sound,function
create textile effect,create textile effect,function
generate-electrical power,generate-electrical power,function
protect-equipment,protect-equipment,function
offering-ease of maintenance,offering-ease of maintenance,function
allow easy working,allow easy working,function
create facade panels,create facade panels,function
customise-plastic-like,customise-plastic-like,function
prevent-sound-propagation,prevent-sound-propagation,function
produce-diffuse light,produce-diffuse light,function
arrange-noun,arrange-noun,function
visualizing-nature,visualizing-nature,function
self-recovering surface,self-recovering surface,function
reduce sound,reduce sound,function
reduce co2 emissions,reduce co2 emissions,function
offer solutions,offer solutions,function
preserve-material,preserve-material,function
enhance-appearance,enhance-appearance,function
store-liquid,store-liquid,function
refurbish-tiles,refurbish-tiles,function
utilizes bio-based technology,utilizes bio-based technology,function
provide adhesion,provide adhesion,function
recyclable-material,recyclable-material,function
cover-surface,cover-surface,function
create-homogeneous texture,create-homogeneous texture,function
create-divider,create-divider,function
create-nested shapes,create-nested shapes,function
soften-leather,soften-leather,function
create displays,create displays,function
avoid dirt breeding ground,avoid dirt breeding ground,function
support façade work,support façade work,function
fix-in-net,fix-in-net,function
resist-cold,resist-cold,function
accept-varied surfaces,accept-varied surfaces,function
achieve hardness comparable to marble,achieve hardness comparable to marble,function
respond-changes,respond-changes,function
providing-resistance,providing-resistance,function
extract fibres,extract fibres,function
rf sealed structure,rf sealed structure,function
allow maintenance-free use,allow maintenance-free use,function
provide-atmosphere,provide-atmosphere,function
provide fire resistance,provide fire resistance,function
reduce waste,reduce waste,function
allow radio frequencies to pass,allow radio frequencies to pass,function
durable-noun,durable-noun,function
capture-pattern,capture-pattern,function
isolate-heat,isolate-heat,function
provides fire resistance,provides fire resistance,function
regulate-moisture,regulate-moisture,function
resist-chemical degradation,resist-chemical degradation,function
maintain early strength,maintain early strength,function
allow-extrusion,allow-extrusion,function
adhere-strongly,adhere-strongly,function
imitate marble,imitate marble,function
offer lightweight structure,offer lightweight structure,function
resist-heat,resist-heat,function
repel dirt,repel dirt,function
obscure light,obscure light,function
enhance-biodegradability,enhance-biodegradability,function
shrink-labeling,shrink-labeling,function
conductive-noun,conductive-noun,function
emphasize-qualities,emphasize-qualities,function
provide-soundproofing,provide-soundproofing,function
reduce-bacteria,reduce-bacteria,function
enable monolithic structure,enable monolithic structure,function
shape-press forming,shape-press forming,function
provide-lighting-solution,provide-lighting-solution,function
seal-water,seal-water,function
produce-biodegradable plastics,produce-biodegradable plastics,function
provide-fire-protection,provide-fire-protection,function
developed-textile,developed-textile,function
provide-strength,provide-strength,function
define pixel size,define pixel size,function
provide non-slip,provide non-slip,function
support-durable design,support-durable design,function
resist-scrapes,resist-scrapes,function
resist-shock,resist-shock,function
combine-properties,combine-properties,function
softens-shape,softens-shape,function
provide good grip,provide good grip,function
achieve sustainability,achieve sustainability,function
provide-sight protection,provide-sight protection,function
create-transparent fabric,create-transparent fabric,function
switch-images,switch-images,function
create earthy look,create earthy look,function
behave-noun,behave-noun,function
create-diffusion,create-diffusion,function
allow recycling,allow recycling,function
enable breathability,enable breathability,function
reduce-reverberation,reduce-reverberation,function
provide-luminosity,provide-luminosity,function
reduce damp,reduce damp,function
enable-wall cladding,enable-wall cladding,function
incorporate-pebbles,incorporate-pebbles,function
suit-upholstery,suit-upholstery,function
treat-with-tools,treat-with-tools,function
decorated-tile,decorated-tile,function
resist marine growth,resist marine growth,function
treat-flame-resistant,treat-flame-resistant,function
isolate-noise,isolate-noise,function
provide-tensile strength,provide-tensile strength,function
pour-coloured resin,pour-coloured resin,function
filter-nonferrous metal alloys,filter-nonferrous metal alloys,function
harden-room-temperature,harden-room-temperature,function
regulating-moisture,regulating-moisture,function
reproduction-slate,reproduction-slate,function
resist-shipworm,resist-shipworm,function
change shape,change shape,function
minimizing-irregularities,minimizing-irregularities,function
form-armature,form-armature,function
massage-feet,massage-feet,function
maintain-aesthetics,maintain-aesthetics,function
develop-strong,develop-strong,function
pressing-rectangle,pressing-rectangle,function
adjust-ph,adjust-ph,function
promote manufacturing,promote manufacturing,function
allow biodegradation,allow biodegradation,function
weathered look,weathered look,function
create-paving stones,create-paving stones,function
elongate-light,elongate-light,function
combine-narrow fabrics,combine-narrow fabrics,function
facilitate secure installations,facilitate secure installations,function
transmission of light,transmission of light,function
prevent-hydrostatic pressure,prevent-hydrostatic pressure,function
ensure-vibration dampening,ensure-vibration dampening,function
achieve-wave-form,achieve-wave-form,function
enhance-soundproofing,enhance-soundproofing,function
form table tops,form table tops,function
biodegrade-90 days,biodegrade-90 days,function
develop-noun,develop-noun,function
apply-interior,apply-interior,function
reinforce-fibreboard,reinforce-fibreboard,function
provide-water-resistance,provide-water-resistance,function
produce-lighting,produce-lighting,function
manage moisture,manage moisture,function
ensuring-fire-performance,ensuring-fire-performance,function
increase elasticity,increase elasticity,function
allow dyeing in diverse tones,allow dyeing in diverse tones,function
reduce-air movement,reduce-air movement,function
render fireproof,render fireproof,function
protect-cold,protect-cold,function
resist-tear,resist-tear,function
reveal-quality,reveal-quality,function
add dimensional depth,add dimensional depth,function
decomposes contaminants,decomposes contaminants,function
emit afterglow,emit afterglow,function
allow-customization,allow-customization,function
combine colour,combine colour,function
quick dry-fabric,quick dry-fabric,function
demarcate spaces,demarcate spaces,function
fuse-fibres,fuse-fibres,function
resist rot,resist rot,function
ensure-long life,ensure-long life,function
repurpose-wool waste,repurpose-wool waste,function
modify-transparency,modify-transparency,function
reducing-pollution,reducing-pollution,function
prevent-weed growth,prevent-weed growth,function
transform-space,transform-space,function
act-as-growing-medium,act-as-growing-medium,function
press-shape,press-shape,function
ensure water resistance,ensure water resistance,function
equip-noun,equip-noun,function
protecting-products,protecting-products,function
enable-acoustic-solution,enable-acoustic-solution,function
create beams,create beams,function
biodegradable,biodegradable,function
release oxygen,release oxygen,function
ensure low-maintenance,ensure low-maintenance,function
reinforce-strength,reinforce-strength,function
absorb-moisture,absorb-moisture,function
change-colour,change-colour,function
fuse materials,fuse materials,function
divert waste,divert waste,function
enable damage forgiveness,enable damage forgiveness,function
allow-brilliant colors,allow-brilliant colors,function
provide versatility,provide versatility,function
remolded ad infinitum,remolded ad infinitum,function
seal-joints,seal-joints,function
reuse-products,reuse-products,function
create colored appearance,create colored appearance,function
embody-noun,embody-noun,function
install- easily,install- easily,function
prevent-defects,prevent-defects,function
apply colour,apply colour,function
creates a matte finish,creates a matte finish,function
serve-soothing sensation,serve-soothing sensation,function
resist termites,resist termites,function
mark-noun,mark-noun,function
drape like silk,drape like silk,function
regulate-blood pressure,regulate-blood pressure,function
reuse-non-toxic materials,reuse-non-toxic materials,function
create-fascinating surfaces,create-fascinating surfaces,function
apply designs,apply designs,function
influence-color,influence-color,function
enhance-shock resistance,enhance-shock resistance,function
replace-acoustic materials,replace-acoustic materials,function
print-patterns,print-patterns,function
provide-clarity,provide-clarity,function
reflect-light,reflect-light,function
contain-substances,contain-substances,function
match actual turf,match actual turf,function
offer-thermal stability,offer-thermal stability,function
create-pigment,create-pigment,function
print-colourful-patterns,print-colourful-patterns,function
stiffen-high-impact,stiffen-high-impact,function
illuminate-non-toxic,illuminate-non-toxic,function
transform-waste,transform-waste,function
ensure surface quality,ensure surface quality,function
provide good mechanical characteristics,provide good mechanical characteristics,function
improve air circulation,improve air circulation,function
activate-bacteria,activate-bacteria,function
minimise sound,minimise sound,function
offering texture,offering texture,function
transform-non-toxic alternative,transform-non-toxic alternative,function
maintain-sugar,maintain-sugar,function
improve-sound insulation,improve-sound insulation,function
offer-dimension-stability,offer-dimension-stability,function
create-complex-details,create-complex-details,function
optimize durability,optimize durability,function
provide elasticity,provide elasticity,function
create visual effects,create visual effects,function
cover-facade,cover-facade,function
showcase-colours,showcase-colours,function
provide-elasticity,provide-elasticity,function
soft touch finish,soft touch finish,function
polish-finish,polish-finish,function
weave-skin,weave-skin,function
adapt-width,adapt-width,function
enhance-thermal stability,enhance-thermal stability,function
dye-fibres,dye-fibres,function
provide recyclability,provide recyclability,function
insulate thermally,insulate thermally,function
laminate-fabric,laminate-fabric,function
replace-wood-based materials,replace-wood-based materials,function
respond-to-temperature,respond-to-temperature,function
divide-room,divide-room,function
conduct-light,conduct-light,function
transform-image,transform-image,function
craft-functional art objects,craft-functional art objects,function
create-pigments,create-pigments,function
preserve natural appearance,preserve natural appearance,function
create-non-toxic coating,create-non-toxic coating,function
offers warmth-feel,offers warmth-feel,function
enhance-stain resistance,enhance-stain resistance,function
create colour effects,create colour effects,function
retain-texture,retain-texture,function
create wall panels,create wall panels,function
provide-frost resistance,provide-frost resistance,function
contribute to resource efficiency,contribute to resource efficiency,function
provide-mechanical resistance,provide-mechanical resistance,function
reacts with light,reacts with light,function
prevent-fungus growth,prevent-fungus growth,function
develop-custom designs,develop-custom designs,function
prevent slipping,prevent slipping,function
adhere-verb,adhere-verb,function
maximize strength,maximize strength,function
create-unique boards,create-unique boards,function
offer-design,offer-design,function
reduce water usage,reduce water usage,function
ensure good uv resistance,ensure good uv resistance,function
minimize-impact,minimize-impact,function
capture-ultraviolet rays,capture-ultraviolet rays,function
enable-upholstery,enable-upholstery,function
repair-easily,repair-easily,function
thermoform-panel,thermoform-panel,function
deliver-clean-air,deliver-clean-air,function
form-stability,form-stability,function
cut sheets,cut sheets,function
provide biodegradable alternative,provide biodegradable alternative,function
enable flat lamination,enable flat lamination,function
provide-unique texture,provide-unique texture,function
reduce-distortion,reduce-distortion,function
minimize-health-risks,minimize-health-risks,function
provide soft-touch effect,provide soft-touch effect,function
filter light,filter light,function
uv-resistant-colours,uv-resistant-colours,function
reduce-raw materials,reduce-raw materials,function
enhance mobile signal transmission,enhance mobile signal transmission,function
boost-mood,boost-mood,function
enhance-translucence,enhance-translucence,function
tan-leather,tan-leather,function
provide-visual-engagement,provide-visual-engagement,function
enhance-moisture absorption,enhance-moisture absorption,function
allow-elasticity,allow-elasticity,function
thermoform-complex,thermoform-complex,function
utilise-niche plastic waste,utilise-niche plastic waste,function
offer resistance to weathering,offer resistance to weathering,function
boiling-fibres,boiling-fibres,function
